네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 20대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",37,59,11
"2021-07-10",39,62,11
"2021-07-11",47,72,14
"2021-07-12",49,69,15
"2021-07-13",50,68,14
"2021-07-14",47,65,14
"2021-07-15",45,63,13
"2021-07-16",38,56,11
"2021-07-17",39,60,11
"2021-07-18",47,69,14
"2021-07-19",46,67,14
"2021-07-20",45,65,14
"2021-07-21",44,63,14
"2021-07-22",41,60,13
"2021-07-23",37,54,11
"2021-07-24",37,57,11
"2021-07-25",44,64,13
"2021-07-26",44,62,14
"2021-07-27",43,61,13
"2021-07-28",41,58,13
"2021-07-29",37,54,12
"2021-07-30",34,50,11
"2021-07-31",35,54,11
"2021-08-01",44,66,14
"2021-08-02",43,64,14
"2021-08-03",41,62,14
"2021-08-04",41,59,13
"2021-08-05",39,58,13
"2021-08-06",35,53,11
"2021-08-07",35,54,11
"2021-08-08",42,63,14
"2021-08-09",41,61,14
"2021-08-10",42,62,15
"2021-08-11",42,60,14
"2021-08-12",38,56,13
"2021-08-13",34,50,11
"2021-08-14",35,52,11
"2021-08-15",38,56,12
"2021-08-16",42,60,14
"2021-08-17",41,58,14
"2021-08-18",41,56,13
"2021-08-19",39,54,12
"2021-08-20",34,49,11
"2021-08-21",38,53,11
"2021-08-22",45,60,13
"2021-08-23",47,61,14
"2021-08-24",46,59,13
"2021-08-25",46,59,13
"2021-08-26",45,59,13
"2021-08-27",43,55,11
"2021-08-28",45,55,11
"2021-08-29",53,63,13
"2021-08-30",52,62,14
"2021-08-31",54,62,13
"2021-09-01",56,64,13
"2021-09-02",51,59,13
"2021-09-03",47,56,12
"2021-09-04",49,56,11
"2021-09-05",59,66,13
"2021-09-06",61,66,14
"2021-09-07",61,63,13
"2021-09-08",57,58,13
"2021-09-09",53,58,12
"2021-09-10",49,57,12
"2021-09-11",51,60,11
"2021-09-12",60,70,13
"2021-09-13",59,69,14
"2021-09-14",55,63,13
"2021-09-15",50,57,12
"2021-09-16",45,51,10
"2021-09-17",41,47,9
"2021-09-18",43,51,9
"2021-09-19",44,53,9
"2021-09-20",45,54,9
"2021-09-21",49,57,10
"2021-09-22",60,68,13
"2021-09-23",63,67,15
"2021-09-24",57,61,13
"2021-09-25",58,60,12
"2021-09-26",67,69,14
"2021-09-27",68,67,15
"2021-09-28",63,63,14
"2021-09-29",60,62,13
"2021-09-30",56,57,12
"2021-10-01",53,58,12
"2021-10-02",52,57,11
"2021-10-03",57,63,12
"2021-10-04",66,70,14
"2021-10-05",61,65,14
"2021-10-06",58,61,13
"2021-10-07",55,57,12
"2021-10-08",50,54,11
"2021-10-09",50,54,11
"2021-10-10",59,63,12
"2021-10-11",75,69,14
"2021-10-12",71,64,14
"2021-10-13",66,60,13
"2021-10-14",60,56,12
"2021-10-15",54,51,11
"2021-10-16",70,53,10
"2021-10-17",100,63,13
"2021-10-18",97,63,14
"2021-10-19",85,59,13
"2021-10-20",81,57,13
"2021-10-21",75,54,12
"2021-10-22",65,50,11
"2021-10-23",65,50,11
"2021-10-24",78,59,13
"2021-10-25",74,59,15
"2021-10-26",71,57,13
"2021-10-27",65,55,13
"2021-10-28",60,52,12
"2021-10-29",54,48,11
"2021-10-30",55,50,11
"2021-10-31",68,59,13
"2021-11-01",72,63,16
"2021-11-02",67,58,14
"2021-11-03",64,54,13
"2021-11-04",60,53,12
"2021-11-05",53,47,11
"2021-11-06",53,49,10
"2021-11-07",66,60,13
"2021-11-08",74,63,14
"2021-11-09",75,60,13
"2021-11-10",78,61,14
"2021-11-11",72,57,13
"2021-11-12",62,49,11
"2021-11-13",60,48,10
"2021-11-14",71,57,13
"2021-11-15",70,59,14
"2021-11-16",66,55,13
"2021-11-17",61,52,12
"2021-11-18",57,49,11
"2021-11-19",53,49,11
"2021-11-20",53,50,10
"2021-11-21",66,60,13
"2021-11-22",75,63,14
"2021-11-23",76,61,13
"2021-11-24",68,57,13
"2021-11-25",64,56,12
"2021-11-26",58,52,11
"2021-11-27",59,53,10
"2021-11-28",71,64,13
"2021-11-29",70,64,14
"2021-11-30",71,66,14
"2021-12-01",81,71,14
"2021-12-02",70,63,14
"2021-12-03",60,57,12
"2021-12-04",61,56,11
"2021-12-05",74,68,14
"2021-12-06",71,70,16
"2021-12-07",66,66,15
"2021-12-08",64,63,15
"2021-12-09",60,61,13
"2021-12-10",56,58,12
"2021-12-11",58,61,12
"2021-12-12",73,72,14
"2021-12-13",73,74,16
"2021-12-14",67,70,15
"2021-12-15",62,67,14
"2021-12-16",55,60,13
"2021-12-17",53,57,12
"2021-12-18",56,62,12
"2021-12-19",70,74,15
"2021-12-20",62,70,16
"2021-12-21",49,55,13
"2021-12-22",49,56,14
"2021-12-23",48,56,13
"2021-12-24",43,51,12
"2021-12-25",48,57,11
"2021-12-26",63,69,14
"2021-12-27",64,71,15
"2021-12-28",59,66,15
"2021-12-29",54,61,14
"2021-12-30",51,58,13
"2021-12-31",44,52,11
"2022-01-01",45,54,11
"2022-01-02",55,65,14
"2022-01-03",52,64,15
"2022-01-04",51,60,14
"2022-01-05",50,60,14
"2022-01-06",46,56,13
"2022-01-07",40,51,11
"2022-01-08",42,53,11
"2022-01-09",50,61,13
"2022-01-10",49,63,14
"2022-01-11",50,60,14
"2022-01-12",49,58,14
"2022-01-13",47,57,14
"2022-01-14",40,51,12
"2022-01-15",43,54,12
"2022-01-16",51,64,14
"2022-01-17",49,60,14
"2022-01-18",46,56,14
"2022-01-19",44,54,13
"2022-01-20",42,52,12
"2022-01-21",38,48,11
"2022-01-22",40,52,11
"2022-01-23",46,59,13
"2022-01-24",44,55,14
"2022-01-25",42,53,13
"2022-01-26",39,49,11
"2022-01-27",35,45,10
"2022-01-28",31,41,9
"2022-01-29",33,44,9
"2022-01-30",37,47,10
"2022-01-31",38,49,10
"2022-02-01",44,57,11
"2022-02-02",49,65,14
"2022-02-03",50,64,16
"2022-02-04",46,57,14
"2022-02-05",47,59,13
"2022-02-06",51,64,15
"2022-02-07",48,60,16
"2022-02-08",46,58,15
"2022-02-09",45,56,14
"2022-02-10",43,55,13
"2022-02-11",40,51,12
"2022-02-12",41,54,11
"2022-02-13",48,61,14
"2022-02-14",46,59,14
"2022-02-15",45,57,13
"2022-02-16",43,54,13
"2022-02-17",40,51,12
"2022-02-18",38,48,11
"2022-02-19",39,52,11
"2022-02-20",47,59,13
"2022-02-21",46,58,14
"2022-02-22",43,55,13
"2022-02-23",43,54,13
"2022-02-24",39,50,12
"2022-02-25",35,47,11
"2022-02-26",39,52,11
"2022-02-27",45,58,13
"2022-02-28",43,54,13
"2022-03-01",51,63,15
"2022-03-02",46,58,14
"2022-03-03",43,53,14
"2022-03-04",39,49,12
"2022-03-05",41,51,13
"2022-03-06",49,60,16
"2022-03-07",45,55,14
