네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 10대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",22,38,15
"2021-07-10",30,52,21
"2021-07-11",36,59,25
"2021-07-12",29,48,20
"2021-07-13",26,43,19
"2021-07-14",26,43,19
"2021-07-15",25,44,19
"2021-07-16",25,42,19
"2021-07-17",29,51,21
"2021-07-18",34,57,24
"2021-07-19",30,48,22
"2021-07-20",29,48,22
"2021-07-21",29,49,22
"2021-07-22",29,48,21
"2021-07-23",26,45,20
"2021-07-24",29,47,21
"2021-07-25",31,50,23
"2021-07-26",27,44,21
"2021-07-27",27,44,21
"2021-07-28",28,46,21
"2021-07-29",26,44,21
"2021-07-30",25,41,20
"2021-07-31",26,45,20
"2021-08-01",30,52,25
"2021-08-02",29,51,25
"2021-08-03",31,50,25
"2021-08-04",30,49,25
"2021-08-05",30,49,24
"2021-08-06",27,46,23
"2021-08-07",29,48,23
"2021-08-08",32,52,25
"2021-08-09",32,51,26
"2021-08-10",33,50,24
"2021-08-11",33,51,25
"2021-08-12",33,50,24
"2021-08-13",32,48,23
"2021-08-14",34,50,23
"2021-08-15",39,54,25
"2021-08-16",41,54,27
"2021-08-17",38,48,23
"2021-08-18",38,46,21
"2021-08-19",37,43,21
"2021-08-20",35,41,19
"2021-08-21",49,52,23
"2021-08-22",58,61,27
"2021-08-23",51,48,22
"2021-08-24",47,44,19
"2021-08-25",48,44,19
"2021-08-26",44,42,19
"2021-08-27",43,40,17
"2021-08-28",59,52,22
"2021-08-29",71,61,27
"2021-08-30",53,47,20
"2021-08-31",48,41,17
"2021-09-01",55,47,19
"2021-09-02",56,47,21
"2021-09-03",53,44,19
"2021-09-04",63,53,23
"2021-09-05",78,63,27
"2021-09-06",58,48,20
"2021-09-07",55,42,18
"2021-09-08",51,41,18
"2021-09-09",47,39,17
"2021-09-10",43,37,15
"2021-09-11",64,54,21
"2021-09-12",73,63,26
"2021-09-13",50,45,18
"2021-09-14",43,39,16
"2021-09-15",40,37,16
"2021-09-16",39,37,15
"2021-09-17",38,37,15
"2021-09-18",51,50,19
"2021-09-19",59,56,22
"2021-09-20",61,57,23
"2021-09-21",66,67,25
"2021-09-22",74,71,29
"2021-09-23",56,55,24
"2021-09-24",50,48,20
"2021-09-25",61,57,24
"2021-09-26",70,65,28
"2021-09-27",53,48,22
"2021-09-28",47,44,20
"2021-09-29",48,44,19
"2021-09-30",45,43,19
"2021-10-01",44,44,20
"2021-10-02",55,55,23
"2021-10-03",57,61,26
"2021-10-04",54,60,26
"2021-10-05",41,46,20
"2021-10-06",40,43,19
"2021-10-07",41,44,18
"2021-10-08",38,41,18
"2021-10-09",46,51,22
"2021-10-10",55,58,25
"2021-10-11",60,57,26
"2021-10-12",47,43,18
"2021-10-13",45,41,18
"2021-10-14",42,38,17
"2021-10-15",41,39,17
"2021-10-16",70,52,21
"2021-10-17",100,62,24
"2021-10-18",79,49,19
"2021-10-19",63,44,17
"2021-10-20",58,42,17
"2021-10-21",55,42,17
"2021-10-22",47,39,16
"2021-10-23",61,50,20
"2021-10-24",65,59,25
"2021-10-25",47,45,20
"2021-10-26",42,41,17
"2021-10-27",39,41,17
"2021-10-28",36,39,17
"2021-10-29",33,36,17
"2021-10-30",43,48,21
"2021-10-31",49,56,25
"2021-11-01",39,47,21
"2021-11-02",37,44,19
"2021-11-03",36,45,20
"2021-11-04",35,43,19
"2021-11-05",33,43,18
"2021-11-06",43,53,23
"2021-11-07",52,61,27
"2021-11-08",44,52,22
"2021-11-09",47,47,19
"2021-11-10",51,46,19
"2021-11-11",51,49,20
"2021-11-12",50,48,20
"2021-11-13",54,52,21
"2021-11-14",59,58,24
"2021-11-15",49,52,23
"2021-11-16",44,47,21
"2021-11-17",40,42,19
"2021-11-18",35,38,17
"2021-11-19",38,45,22
"2021-11-20",42,48,22
"2021-11-21",49,57,24
"2021-11-22",47,47,19
"2021-11-23",52,44,18
"2021-11-24",45,40,17
"2021-11-25",43,44,18
"2021-11-26",38,43,17
"2021-11-27",49,55,22
"2021-11-28",60,64,26
"2021-11-29",42,50,21
"2021-11-30",42,48,20
"2021-12-01",50,54,21
"2021-12-02",45,52,22
"2021-12-03",39,50,22
"2021-12-04",47,59,28
"2021-12-05",54,67,31
"2021-12-06",42,53,24
"2021-12-07",36,49,23
"2021-12-08",37,50,24
"2021-12-09",36,49,21
"2021-12-10",34,48,20
"2021-12-11",43,59,25
"2021-12-12",52,70,30
"2021-12-13",41,57,25
"2021-12-14",37,53,22
"2021-12-15",36,52,22
"2021-12-16",34,50,22
"2021-12-17",33,49,21
"2021-12-18",41,59,25
"2021-12-19",48,70,28
"2021-12-20",36,55,23
"2021-12-21",26,41,18
"2021-12-22",27,44,20
"2021-12-23",28,47,20
"2021-12-24",24,43,18
"2021-12-25",30,54,20
"2021-12-26",40,68,26
"2021-12-27",33,59,24
"2021-12-28",31,53,23
"2021-12-29",30,53,24
"2021-12-30",29,54,24
"2021-12-31",24,48,20
