날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-07-09,31,12,20,20,15,9,48,14,36,28,18,22
2021-07-10,3,16,22,19,25,26,34,13,30,23,14,19
2021-07-11,7,15,22,20,38,47,52,16,32,30,12,23
2021-07-12,28,16,30,40,23,32,59,19,44,50,22,23
2021-07-13,21,16,31,20,26,25,69,19,48,44,9,33
2021-07-14,28,19,39,43,38,25,41,19,36,43,29,23
2021-07-15,41,13,37,26,23,16,31,16,45,38,8,16
2021-07-16,3,13,28,25,34,9,38,17,37,33,4,19
2021-07-17,7,7,19,19,19,11,28,10,20,36,12,22
2021-07-18,17,20,31,29,35,16,59,8,38,30,19,23
2021-07-19,21,15,33,32,29,14,72,18,47,30,15,23
2021-07-20,31,13,30,29,29,32,34,18,45,41,19,11
2021-07-21,24,12,32,41,26,12,38,18,31,35,15,33
2021-07-22,14,8,29,25,28,21,17,12,44,31,15,16
2021-07-23,24,12,33,32,26,23,17,13,28,38,29,27
2021-07-24,14,12,23,26,16,18,24,11,37,28,10,19
2021-07-25,14,27,34,26,31,25,48,14,38,37,29,20
2021-07-26,10,24,46,29,36,11,45,19,47,36,13,21
2021-07-27,34,19,32,24,26,16,41,18,47,33,8,15
2021-07-28,21,16,43,42,15,16,17,17,38,32,18,23
2021-07-29,45,19,35,42,31,35,17,15,35,45,28,23
2021-07-30,3,16,27,36,20,12,28,12,47,27,18,20
2021-07-31,7,19,39,33,24,14,28,10,21,29,5,17
2021-08-01,10,42,40,53,30,19,21,16,34,30,13,30
2021-08-02,48,33,52,50,36,21,3,23,39,41,12,36
2021-08-03,21,34,48,31,36,25,45,17,44,46,14,26
2021-08-04,28,30,52,36,14,25,31,19,43,32,23,19
2021-08-05,24,40,59,40,45,16,10,23,41,41,40,23
2021-08-06,48,43,79,32,38,16,48,14,42,40,23,25
2021-08-07,52,39,51,53,24,11,55,14,43,34,24,20
2021-08-08,7,32,45,36,30,14,34,14,29,28,12,29
2021-08-09,17,38,44,57,43,16,41,23,46,43,9,19
2021-08-10,14,42,51,39,36,18,34,21,47,53,8,20
2021-08-11,31,27,32,23,31,21,55,22,44,45,17,20
2021-08-12,3,25,33,29,18,26,34,19,47,34,21,27
2021-08-13,14,20,35,30,33,21,66,22,42,31,10,17
2021-08-14,24,23,28,20,28,42,21,13,32,32,15,30
2021-08-15,24,16,28,21,18,11,52,20,40,27,17,15
2021-08-16,17,24,33,52,14,16,52,15,44,46,13,36
2021-08-17,93,52,68,45,20,9,48,26,47,42,15,27
2021-08-18,62,31,42,30,30,12,55,25,44,47,13,22
2021-08-19,41,33,56,35,35,19,31,32,38,46,5,33
2021-08-20,69,55,56,38,49,21,38,35,65,42,10,23
2021-08-21,55,40,51,38,25,28,24,26,46,33,23,29
2021-08-22,31,40,49,31,19,7,62,25,45,48,22,28
2021-08-23,62,38,45,56,33,28,48,47,62,63,18,41
2021-08-24,45,51,41,36,56,35,28,45,53,57,37,49
2021-08-25,76,50,41,47,35,42,100,46,47,47,18,45
2021-08-26,48,51,45,37,46,26,52,49,44,48,24,40
2021-08-27,62,35,49,46,35,46,66,43,60,56,47,74
2021-08-28,34,46,61,88,48,35,24,31,48,79,55,100
2021-08-29,45,76,62,44,39,18,45,40,41,37,14,37
2021-08-30,45,85,83,74,49,16,90,83,59,47,28,39
2021-08-31,52,76,87,51,44,25,62,86,65,60,22,43
2021-09-01,55,100,85,50,78,18,69,100,62,70,29,62
2021-09-02,66,98,54,62,46,60,48,94,76,72,32,52
2021-09-03,62,65,59,50,33,46,52,78,58,67,18,30
2021-09-04,34,41,50,34,34,18,52,42,51,59,15,25
2021-09-05,28,39,54,22,33,25,28,41,42,39,21,31
2021-09-06,41,74,61,47,38,26,31,78,62,47,12,34
2021-09-07,45,75,76,50,40,54,38,72,59,63,19,40
2021-09-08,31,64,43,50,29,25,48,52,56,47,17,36
2021-09-09,45,59,56,52,36,25,62,45,50,49,27,31
2021-09-10,55,37,57,53,56,23,41,36,51,49,17,28
2021-09-11,17,24,44,29,23,25,17,27,36,31,15,34
2021-09-12,38,29,33,27,14,12,45,27,38,37,10,34
2021-09-13,41,42,54,41,29,16,21,34,53,44,8,32
2021-09-14,10,50,50,43,28,35,62,36,63,53,21,29
2021-09-15,55,42,80,36,31,18,24,39,53,46,17,31
2021-09-16,55,41,49,39,39,18,17,28,55,54,15,19
