날짜,경제_경영_남성_10대,경제_경영_남성_20대,경제_경영_남성_30대,경제_경영_남성_40대,경제_경영_남성_50대,경제_경영_남성_60대이상,경제_경영_여성_10대,경제_경영_여성_20대,경제_경영_여성_30대,경제_경영_여성_40대,경제_경영_여성_50대,경제_경영_여성_60대이상
2021-07-09,31,8,15,22,12,7,29,6,21,19,9,4
2021-07-10,24,7,23,23,24,14,27,3,17,16,8,4
2021-07-11,24,12,24,27,25,19,47,5,17,18,8,12
2021-07-12,63,14,31,26,32,13,59,6,19,24,12,8
2021-07-13,49,15,26,31,23,14,45,6,22,25,16,10
2021-07-14,45,12,28,23,29,15,63,6,22,24,11,7
2021-07-15,38,12,24,26,25,17,92,7,17,18,11,4
2021-07-16,32,7,22,22,15,12,24,4,16,24,12,6
2021-07-17,21,8,22,29,19,24,45,6,17,17,11,11
2021-07-18,14,10,27,24,30,23,29,6,20,16,10,9
2021-07-19,27,14,34,34,33,19,29,7,19,27,13,4
2021-07-20,18,17,32,34,19,20,41,7,29,20,8,6
2021-07-21,17,10,25,37,34,42,35,5,29,25,18,11
2021-07-22,31,13,28,39,26,26,12,7,23,22,18,10
2021-07-23,23,13,31,34,34,28,12,5,25,24,18,22
2021-07-24,14,12,22,26,37,28,27,5,22,17,14,16
2021-07-25,7,14,43,34,30,20,12,7,30,23,15,16
2021-07-26,14,13,35,33,32,29,16,7,25,25,12,10
2021-07-27,18,15,31,28,32,28,12,8,27,25,18,18
2021-07-28,13,15,27,22,24,31,6,5,25,24,16,7
2021-07-29,30,15,29,26,33,14,10,6,24,21,16,11
2021-07-30,11,14,26,24,17,21,24,5,24,22,9,13
2021-07-31,11,12,19,25,23,19,18,4,20,18,9,11
2021-08-01,13,13,28,22,15,28,16,6,20,19,13,7
2021-08-02,11,13,24,24,22,12,20,3,21,14,12,7
2021-08-03,15,12,24,26,21,23,12,7,25,21,12,12
2021-08-04,15,14,28,23,26,16,22,7,26,25,9,12
2021-08-05,17,14,29,28,26,14,14,6,24,16,14,7
2021-08-06,11,10,25,19,24,12,25,6,19,18,9,10
2021-08-07,14,9,18,27,29,15,31,4,18,21,10,6
2021-08-08,15,14,28,26,27,22,22,5,24,24,14,16
2021-08-09,37,14,24,33,26,35,14,5,24,22,11,5
2021-08-10,14,14,26,25,23,11,27,4,20,21,10,7
2021-08-11,7,14,32,33,25,23,18,6,24,25,14,14
2021-08-12,14,13,29,36,29,14,22,7,22,30,19,12
2021-08-13,30,9,29,27,24,22,43,6,23,25,10,11
2021-08-14,8,13,24,29,31,36,25,4,18,20,16,10
2021-08-15,14,14,27,37,36,55,49,6,23,20,22,23
2021-08-16,18,13,32,40,35,35,43,6,26,28,21,16
2021-08-17,25,15,37,30,23,27,82,7,31,25,13,13
2021-08-18,49,15,32,40,27,30,53,6,22,32,21,7
2021-08-19,28,13,36,33,34,31,47,8,30,26,15,8
2021-08-20,25,15,29,30,21,18,51,8,20,24,16,8
2021-08-21,25,9,24,32,33,23,12,5,19,20,17,13
2021-08-22,20,13,31,27,37,30,25,6,23,24,19,9
2021-08-23,41,15,30,33,30,30,71,9,30,25,21,11
2021-08-24,35,16,40,39,38,22,43,8,28,32,17,3
2021-08-25,37,23,33,35,46,38,61,10,32,30,16,9
2021-08-26,37,17,35,36,40,31,35,11,30,29,16,12
2021-08-27,23,20,30,30,43,17,78,9,23,27,16,10
2021-08-28,20,16,29,35,38,16,27,8,29,33,17,14
2021-08-29,32,23,73,69,65,48,51,14,44,50,29,19
2021-08-30,27,35,54,56,48,33,35,27,50,38,24,9
2021-08-31,15,39,56,63,46,27,49,29,43,36,21,12
2021-09-01,72,55,55,48,50,34,61,41,44,42,23,10
2021-09-02,37,61,47,53,47,25,65,58,51,50,20,16
2021-09-03,45,47,54,57,34,29,75,40,36,36,21,14
2021-09-04,24,29,43,41,47,39,51,23,32,38,22,21
2021-09-05,35,41,47,48,45,30,65,22,24,35,22,16
2021-09-06,54,46,46,44,45,26,67,39,39,43,21,10
2021-09-07,42,43,48,46,43,39,71,35,38,42,20,15
2021-09-08,37,37,47,50,67,40,63,27,41,38,28,18
2021-09-09,27,36,45,58,77,63,16,23,39,46,39,23
2021-09-10,30,22,37,46,55,48,45,19,35,29,21,20
2021-09-11,10,18,25,32,35,43,35,10,23,23,16,8
2021-09-12,21,21,31,37,36,31,27,11,25,30,16,11
2021-09-13,30,29,32,37,25,24,22,17,28,19,18,6
2021-09-14,17,26,39,33,49,34,29,14,33,29,17,12
2021-09-15,13,28,33,34,41,23,22,12,23,20,13,9
