날짜,생활취미레저_남성_10대,생활취미레저_남성_20대,생활취미레저_남성_30대,생활취미레저_남성_40대,생활취미레저_남성_50대,생활취미레저_남성_60대,생활취미레저_여성_10대,생활취미레저_여성_20대,생활취미레저_여성_30대,생활취미레저_여성_40대,생활취미레저_여성_50대,생활취미레저_여성_60대
2021-07-09,24,14,27,29,21,25,34,19,26,23,24,17
2021-07-10,17,17,27,23,36,36,44,18,23,18,21,17
2021-07-11,20,22,24,32,42,44,45,22,28,25,27,15
2021-07-12,29,25,34,39,32,34,36,23,33,31,25,20
2021-07-13,25,20,44,34,24,26,47,24,37,33,32,20
2021-07-14,36,24,42,39,34,30,37,26,34,29,28,22
2021-07-15,25,20,39,28,24,34,49,22,34,27,22,17
2021-07-16,15,21,39,30,31,34,35,24,30,29,26,12
2021-07-17,13,17,32,27,32,17,31,16,25,27,24,16
2021-07-18,14,25,34,40,35,27,28,15,37,23,32,14
2021-07-19,24,24,54,46,43,23,46,24,42,27,39,22
2021-07-20,30,21,39,29,37,51,31,24,37,28,26,20
2021-07-21,24,17,38,34,33,25,31,26,36,29,38,11
2021-07-22,15,16,46,39,33,22,34,21,38,29,27,19
2021-07-23,24,16,40,38,31,36,27,22,29,28,29,22
2021-07-24,27,17,31,32,29,27,45,18,30,26,22,22
2021-07-25,23,27,33,36,32,40,33,19,39,25,25,20
2021-07-26,32,28,43,40,41,18,32,29,39,30,26,20
2021-07-27,36,28,41,31,52,22,25,25,40,29,29,23
2021-07-28,17,23,46,35,21,22,17,24,35,27,31,15
2021-07-29,40,25,44,32,43,47,41,25,30,27,31,28
2021-07-30,12,21,36,33,28,19,24,18,35,24,22,16
2021-07-31,7,25,39,29,26,35,21,17,23,20,25,14
2021-08-01,7,40,39,40,33,25,28,21,31,23,30,23
2021-08-02,37,34,47,38,38,29,27,31,36,26,37,22
2021-08-03,20,37,46,37,38,23,35,26,37,29,32,16
2021-08-04,18,29,47,34,21,31,33,23,34,26,28,20
2021-08-05,21,38,49,29,41,29,28,31,36,26,25,29
2021-08-06,26,41,63,26,37,26,25,19,31,25,28,28
2021-08-07,32,37,44,36,34,19,31,18,30,21,26,19
2021-08-08,10,38,46,36,34,34,39,20,34,22,30,14
2021-08-09,18,38,47,37,41,22,34,26,34,25,24,7
2021-08-10,12,44,50,33,33,23,31,26,35,27,25,17
2021-08-11,19,26,39,26,29,26,33,28,35,24,23,14
2021-08-12,14,31,36,24,21,43,38,26,37,23,29,17
2021-08-13,17,19,33,31,28,22,39,28,35,19,23,15
2021-08-14,26,26,33,24,26,48,28,19,27,23,34,20
2021-08-15,19,17,31,28,24,18,37,26,31,18,25,20
2021-08-16,26,32,36,34,18,18,49,21,32,26,29,15
2021-08-17,38,49,60,36,26,16,35,31,36,23,31,14
2021-08-18,43,38,39,37,31,19,46,30,43,24,33,17
2021-08-19,26,31,47,34,34,26,32,37,29,27,30,12
2021-08-20,35,47,50,32,41,27,27,40,41,25,22,11
2021-08-21,36,39,44,34,30,34,33,30,36,22,36,22
2021-08-22,35,40,43,33,31,21,39,29,43,28,28,17
2021-08-23,40,38,56,47,39,34,40,53,46,37,42,20
2021-08-24,44,47,43,38,48,35,33,51,43,31,51,28
2021-08-25,38,47,43,41,35,40,74,52,40,28,44,17
2021-08-26,27,53,52,30,38,30,38,55,41,27,33,17
2021-08-27,32,35,42,32,33,44,40,49,41,26,45,29
2021-08-28,38,46,48,53,42,43,30,36,39,27,54,30
2021-08-29,35,66,50,36,41,21,23,43,31,25,30,11
2021-08-30,26,75,67,49,35,19,58,83,35,26,32,29
2021-08-31,50,70,67,38,31,34,30,89,42,29,35,16
2021-09-01,46,88,66,38,58,23,43,100,43,37,47,31
2021-09-02,48,87,51,50,49,55,44,94,43,36,33,20
2021-09-03,39,56,47,39,36,49,43,79,40,33,30,13
2021-09-04,35,41,46,37,33,22,42,44,36,34,24,16
2021-09-05,20,45,58,32,42,26,41,48,39,25,28,19
2021-09-06,31,88,65,54,35,48,34,81,44,29,32,11
2021-09-07,43,86,78,40,40,56,29,76,40,30,35,12
2021-09-08,27,71,56,43,28,31,31,58,38,29,33,20
2021-09-09,21,66,73,42,35,29,28,49,41,31,32,19
2021-09-10,36,49,64,45,38,23,36,41,41,28,23,16
2021-09-11,26,33,44,30,18,31,36,32,35,25,26,17
2021-09-12,33,38,46,38,26,16,53,33,34,28,30,11
2021-09-13,23,52,56,36,28,22,30,39,39,25,31,7
2021-09-14,11,53,60,43,44,39,36,43,43,34,30,23
2021-09-15,48,46,74,31,37,32,30,46,43,31,34,20
2021-09-16,55,53,58,38,37,30,33,34,42,32,22,13
2021-09-17,29,46,49,30,33,26,27,29,34,23,19,19
2021-09-18,11,22,41,35,20,14,19,20,31,22,15,13
2021-09-19,24,25,41,42,28,35,34,18,26,23,16,15
2021-09-20,20,26,32,30,20,21,21,19,23,20,16,12
2021-09-21,19,25,29,28,40,26,26,15,26,18,27,14
2021-09-22,38,31,46,44,38,19,44,24,36,23,23,29
2021-09-23,36,42,53,47,27,34,26,37,45,27,33,23
2021-09-24,35,39,58,47,44,45,34,32,36,29,27,24
2021-09-25,29,26,43,43,56,17,31,27,34,30,40,19
2021-09-26,39,40,46,45,43,44,41,36,43,27,41,11
2021-09-27,24,44,57,38,32,19,37,48,51,28,43,9
2021-09-28,63,44,54,42,38,56,28,48,46,33,40,25
2021-09-29,48,38,63,44,36,36,49,40,47,40,27,19
2021-09-30,45,43,57,42,34,25,39,43,43,30,30,13
2021-10-01,15,37,33,35,44,51,35,41,38,27,26,26
2021-10-02,40,32,34,43,36,30,28,35,42,28,28,15
2021-10-03,21,31,38,36,43,39,37,38,37,27,24,16
2021-10-04,32,34,66,45,49,44,24,38,45,33,42,32
2021-10-05,44,40,58,62,53,40,30,52,54,38,27,24
2021-10-06,32,42,56,46,48,42,31,42,50,43,32,25
2021-10-07,49,40,55,38,47,56,37,45,52,33,36,34
2021-10-08,27,39,54,33,54,51,31,36,47,35,28,17
2021-10-09,15,34,33,39,39,38,26,33,36,28,28,16
2021-10-10,37,36,46,45,60,58,32,35,39,33,42,19
2021-10-11,29,37,52,46,54,42,37,39,40,36,27,29
2021-10-12,26,36,56,48,38,31,43,53,50,40,40,20
2021-10-13,25,35,56,52,43,31,25,48,48,45,37,19
2021-10-14,25,38,44,41,53,29,43,49,46,37,43,24
2021-10-15,39,31,40,35,61,29,55,36,43,36,35,21
2021-10-16,17,31,31,37,48,38,25,30,34,28,35,25
2021-10-17,18,34,50,43,41,36,39,32,43,30,21,26
2021-10-18,56,44,40,41,50,18,44,44,48,35,31,29
2021-10-19,25,39,50,37,48,53,20,41,43,36,30,14
2021-10-20,50,26,52,51,65,57,28,34,44,32,32,19
2021-10-21,31,34,47,40,72,42,16,36,46,32,36,17
2021-10-22,58,21,44,39,41,34,51,37,41,32,33,10
2021-10-23,19,28,29,33,29,44,34,32,38,27,19,18
2021-10-24,19,26,46,43,36,23,48,29,36,30,44,19
2021-10-25,57,45,45,37,38,30,33,40,40,32,33,16
2021-10-26,43,39,49,38,53,18,43,38,44,33,35,26
2021-10-27,51,41,67,54,32,38,44,38,51,34,49,17
2021-10-28,27,35,55,36,57,58,44,38,48,36,34,24
2021-10-29,32,35,49,44,38,43,27,31,43,30,50,22
2021-10-30,29,28,38,37,27,34,48,30,42,28,30,17
2021-10-31,35,35,43,42,51,58,56,29,41,35,30,19
2021-11-01,36,39,63,57,44,56,52,49,55,40,37,29
2021-11-02,42,46,70,51,53,44,34,49,49,34,37,19
2021-11-03,17,42,52,58,56,43,49,42,52,47,39,19
2021-11-04,38,31,55,39,43,38,44,39,61,36,37,26
2021-11-05,49,29,44,41,41,62,33,37,58,32,42,22
2021-11-06,31,28,37,38,41,35,79,30,47,33,40,21
2021-11-07,25,34,48,49,41,31,53,35,51,34,30,21
2021-11-08,49,38,40,54,46,48,47,46,67,39,45,29
2021-11-09,42,38,63,53,44,21,53,47,62,43,42,29
2021-11-10,32,31,60,46,48,30,28,44,64,44,52,19
2021-11-11,42,48,55,39,46,31,56,40,61,38,39,16
2021-11-12,37,31,46,28,43,51,56,33,46,36,40,20
2021-11-13,30,26,39,30,44,26,39,25,43,34,33,30
2021-11-14,27,30,49,43,53,27,31,30,48,35,37,31
2021-11-15,27,40,69,54,59,52,40,40,57,40,32,30
2021-11-16,30,37,60,51,52,21,46,42,57,40,55,25
2021-11-17,25,39,70,50,38,45,45,41,52,41,39,29
2021-11-18,29,31,68,46,41,29,38,35,57,33,34,22
2021-11-19,38,31,44,42,46,22,44,37,44,41,40,37
2021-11-20,23,29,43,42,43,38,53,29,45,37,45,29
2021-11-21,46,36,54,50,46,38,48,35,59,47,42,23
2021-11-22,27,47,59,66,57,34,61,39,63,51,55,28
2021-11-23,54,48,57,63,61,48,43,40,65,45,45,32
2021-11-24,37,44,52,42,53,73,32,41,74,49,48,36
2021-11-25,26,34,54,60,62,57,31,48,54,48,54,44
2021-11-26,51,29,45,41,43,45,54,40,57,41,52,25
2021-11-27,36,34,38,50,42,40,56,37,56,46,51,29
2021-11-28,46,38,54,53,53,52,56,39,58,48,46,35
2021-11-29,60,50,64,52,43,17,80,55,64,55,37,31
2021-11-30,63,44,60,46,48,48,67,49,66,51,62,39
2021-12-01,55,39,68,70,64,40,49,57,79,53,55,42
2021-12-02,46,52,79,52,54,78,52,59,81,65,78,28
2021-12-03,65,35,60,53,53,47,52,53,65,53,49,53
2021-12-04,37,31,51,43,59,68,35,35,55,51,50,28
2021-12-05,40,40,56,54,68,57,53,45,62,51,60,40
2021-12-06,38,46,77,58,59,66,36,67,79,59,63,37
2021-12-07,54,48,65,54,66,43,69,52,73,53,60,29
2021-12-08,38,42,72,51,55,53,85,54,88,61,57,46
2021-12-09,29,38,61,55,58,73,69,50,72,66,58,35
2021-12-10,52,48,84,58,56,47,36,51,78,56,62,39
2021-12-11,73,42,56,54,64,52,71,42,63,62,73,29
2021-12-12,54,49,70,58,59,100,72,47,65,56,65,46
2021-12-13,40,58,80,56,40,42,64,60,81,68,75,42
2021-12-14,68,49,65,72,45,34,74,45,88,84,65,42
2021-12-15,52,41,71,61,65,94,59,34,81,72,96,67
2021-12-16,24,35,63,81,54,49,57,33,81,66,89,67
2021-12-17,46,34,65,65,39,51,61,31,71,66,70,45
2021-12-18,57,33,54,61,43,45,63,33,67,60,65,69
2021-12-19,39,37,74,68,51,49,63,38,85,65,57,44
2021-12-20,25,39,82,83,57,74,77,35,94,71,62,32
2021-12-21,43,36,79,61,56,49,56,34,82,64,60,43
2021-12-22,36,44,83,75,49,74,74,37,80,59,63,39
2021-12-23,43,46,79,71,71,45,66,36,76,75,66,46
2021-12-24,38,37,50,60,54,43,76,32,69,61,60,34
2021-12-25,36,32,57,77,54,51,55,28,55,58,60,29
2021-12-26,51,43,70,70,61,82,67,29,81,62,69,28
2021-12-27,54,46,74,92,56,64,73,41,90,79,72,53
2021-12-28,46,59,97,75,70,68,63,39,88,70,66,40
2021-12-29,69,50,91,79,66,74,93,37,88,80,86,43
2021-12-30,39,34,81,64,46,62,88,35,85,78,66,51
2021-12-31,38,47,74,59,44,61,60,36,68,56,66,35
2022-01-01,36,36,71,79,56,52,78,40,71,62,86,34
2022-01-02,61,45,92,71,66,96,80,41,96,74,93,41
2022-01-03,37,59,90,98,91,69,66,42,98,87,88,49
2022-01-04,46,56,98,93,66,68,61,45,91,86,81,39
2022-01-05,49,51,99,87,65,52,54,42,100,79,74,33
2022-01-06,44,49,100,61,55,64,62,42,82,72,53,37
2022-01-07,25,34,74,75,65,83,43,39,78,70,63,29
2022-01-08,38,37,61,60,56,53,62,32,65,63,63,53
2022-01-09,20,35,53,79,64,65,77,37,77,67,68,57
2022-01-10,40,49,93,74,54,68,62,42,90,77,75,56
2022-01-11,46,37,98,80,49,48,74,41,92,73,67,53
2022-01-12,21,44,86,72,77,84,56,29,93,80,82,56
2022-01-13,29,46,85,91,62,55,78,36,88,100,68,58
2022-01-14,21,32,75,82,100,79,52,28,88,89,72,100
2022-01-15,24,28,53,82,69,64,75,25,62,73,62,37
2022-01-16,25,33,73,70,95,84,61,27,76,81,100,74
2022-01-17,30,40,75,100,69,74,66,31,87,77,76,46
2022-01-18,18,29,72,78,66,70,42,30,89,79,66,32
2022-01-19,39,36,75,83,75,66,72,29,85,82,81,39
2022-01-20,21,28,64,62,73,68,52,30,81,67,64,46
2022-01-21,38,20,58,66,87,52,63,33,62,66,65,37
2022-01-22,38,28,47,75,62,78,50,25,69,63,64,53
2022-01-23,25,26,62,65,81,47,54,29,72,68,75,40
2022-01-24,44,38,74,78,57,51,41,43,81,67,61,53
2022-01-25,32,51,64,64,50,70,59,28,77,58,60,40
2022-01-26,19,34,63,61,49,66,53,31,71,66,77,47
