날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-07-09,32,16,20,30,22,33,26,14,19,28,22,26
2021-07-10,28,14,20,33,22,31,27,17,19,32,31,19
2021-07-11,40,15,27,35,28,42,24,10,22,33,26,28
2021-07-12,39,15,33,34,25,20,28,15,28,31,23,23
2021-07-13,37,21,26,31,34,38,29,18,22,31,23,32
2021-07-14,42,20,30,36,21,34,29,17,23,37,26,18
2021-07-15,41,19,27,29,34,27,25,16,25,34,24,34
2021-07-16,36,14,22,28,24,24,28,14,26,30,27,31
2021-07-17,28,17,23,27,33,31,25,12,25,34,26,21
2021-07-18,36,23,30,38,27,42,22,15,24,30,23,38
2021-07-19,41,21,21,33,31,34,24,14,26,31,24,24
2021-07-20,42,23,26,30,24,28,24,15,28,33,22,14
2021-07-21,32,20,26,27,24,20,20,17,25,33,32,35
2021-07-22,32,19,35,25,33,38,19,17,28,34,27,35
2021-07-23,37,20,25,27,24,51,19,16,22,31,27,28
2021-07-24,27,11,23,30,25,47,20,16,17,29,19,16
2021-07-25,31,16,21,31,31,28,20,13,22,29,16,18
2021-07-26,37,17,24,30,16,44,22,14,22,30,24,30
2021-07-27,34,17,25,25,27,36,19,15,24,32,19,30
2021-07-28,45,19,30,31,30,29,14,13,25,32,26,23
2021-07-29,38,18,28,31,31,31,22,13,23,30,28,31
2021-07-30,29,11,31,24,28,34,20,15,20,32,22,20
2021-07-31,25,15,28,29,46,29,17,11,23,29,24,15
2021-08-01,43,22,31,34,26,52,19,12,23,28,32,16
2021-08-02,32,20,26,25,26,24,21,14,26,30,26,22
2021-08-03,46,18,27,33,30,35,19,14,23,32,25,24
2021-08-04,33,23,30,36,31,60,24,16,24,35,26,39
2021-08-05,37,19,28,27,29,38,22,15,21,33,21,29
2021-08-06,32,18,25,24,27,40,21,11,21,28,24,27
2021-08-07,32,19,26,31,24,33,23,12,17,30,20,25
2021-08-08,33,22,26,30,32,58,22,11,22,32,22,20
2021-08-09,36,18,25,28,35,34,24,16,21,37,28,28
2021-08-10,41,14,27,29,21,35,21,13,19,29,19,18
2021-08-11,31,18,24,28,21,47,19,11,24,28,23,35
2021-08-12,34,17,26,30,26,40,20,16,25,40,23,28
2021-08-13,32,17,22,26,20,39,21,12,24,30,21,19
2021-08-14,30,13,23,35,17,31,20,16,20,24,19,17
2021-08-15,38,17,27,28,19,47,24,13,19,26,19,34
2021-08-16,38,19,30,33,22,39,23,16,24,32,21,20
2021-08-17,37,27,32,30,24,39,25,17,21,34,15,17
2021-08-18,44,19,30,35,27,26,25,19,25,32,24,24
2021-08-19,55,18,26,32,29,33,23,16,22,30,29,28
2021-08-20,44,21,26,26,33,29,19,13,23,29,21,25
2021-08-21,31,17,24,27,28,41,23,13,21,28,25,13
