날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-07-09,13,35,12,12,17,5,5,2,1,2,3,3
2021-07-10,3,27,9,7,13,8,3,2,1,2,2,6
2021-07-11,16,21,10,4,10,16,2,1,1,1,3,5
2021-07-12,19,29,9,8,8,8,5,2,1,1,3,8
2021-07-13,31,20,9,7,8,13,5,2,1,1,2,5
2021-07-14,31,21,14,7,10,18,10,2,2,1,2,3
2021-07-15,22,23,7,5,16,8,7,2,2,2,4,4
2021-07-16,19,18,5,7,17,21,5,2,1,1,4,2
2021-07-17,16,13,10,10,9,11,3,2,1,1,3,2
2021-07-18,31,17,8,9,12,21,1,1,1,2,5,0
2021-07-19,16,16,8,6,20,16,2,2,2,2,4,7
2021-07-20,38,17,8,8,13,21,1,2,1,1,2,3
2021-07-21,31,25,6,7,10,21,3,4,2,1,3,9
2021-07-22,13,21,6,6,21,18,2,2,1,2,4,2
2021-07-23,25,14,11,4,14,39,1,2,1,1,2,3
2021-07-24,22,21,4,5,10,0,2,2,1,1,2,4
2021-07-25,6,10,10,6,8,11,3,1,1,1,3,3
2021-07-26,25,21,9,4,14,11,2,1,1,2,2,6
2021-07-27,6,13,8,3,13,5,2,1,1,2,3,4
2021-07-28,6,17,7,4,10,8,0,2,1,2,2,1
2021-07-29,16,6,4,4,8,16,6,2,1,1,2,6
2021-07-30,25,11,4,3,13,5,4,1,1,1,3,1
2021-07-31,9,13,4,3,3,8,1,1,1,1,2,5
2021-08-01,25,13,4,2,6,39,2,2,1,1,4,4
2021-08-02,9,28,6,4,11,8,4,1,1,1,2,2
2021-08-03,6,13,4,7,5,11,3,1,1,2,3,5
2021-08-04,3,30,4,4,13,21,2,2,1,1,2,2
2021-08-05,19,10,5,4,8,8,6,1,1,2,5,2
2021-08-06,13,7,5,4,6,0,4,2,1,1,1,6
2021-08-07,22,13,4,2,3,24,2,1,1,1,2,3
2021-08-08,13,14,6,4,13,16,4,2,1,1,3,3
2021-08-09,19,12,8,5,8,18,4,2,1,1,2,3
2021-08-10,6,11,4,3,5,21,3,1,1,1,2,1
2021-08-11,34,11,5,3,3,11,4,2,1,1,1,11
2021-08-12,31,12,5,4,22,16,3,1,1,2,3,4
2021-08-13,19,13,4,6,11,11,3,1,1,1,1,2
2021-08-14,16,10,5,3,3,8,2,1,1,1,3,4
2021-08-15,22,13,5,2,7,8,4,2,1,1,2,1
