날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2021-07-09,0,8,8,17,6,29,2,28,20,21,7,17
2021-07-10,14,13,8,13,4,9,6,16,10,11,4,18
2021-07-11,7,7,14,14,5,24,20,18,17,13,6,10
2021-07-12,7,3,15,17,10,20,12,19,23,31,9,17
2021-07-13,7,11,13,16,9,18,8,13,27,26,8,16
2021-07-14,3,4,13,19,5,16,6,6,32,26,7,24
2021-07-15,3,7,20,13,9,44,12,20,31,23,11,100
2021-07-16,10,10,17,26,9,31,14,22,28,28,9,76
2021-07-17,7,11,15,15,8,31,6,14,23,21,11,52
2021-07-18,21,13,10,15,6,22,8,15,15,24,7,58
2021-07-19,3,6,16,30,12,29,10,14,41,31,10,44
2021-07-20,3,4,12,17,12,24,0,18,32,21,11,40
2021-07-21,34,7,12,30,11,9,26,19,28,33,10,40
2021-07-22,14,5,21,21,6,25,6,10,26,24,9,51
2021-07-23,7,3,13,20,9,22,4,12,31,19,7,35
2021-07-24,0,10,13,15,6,11,12,17,18,20,8,35
2021-07-25,10,7,9,17,5,15,10,6,24,10,6,17
2021-07-26,0,4,15,17,10,11,24,26,26,26,9,41
2021-07-27,3,8,11,22,10,5,6,15,18,23,10,23
2021-07-28,3,5,12,23,7,7,8,15,27,28,7,20
2021-07-29,7,7,14,41,7,22,4,20,21,25,7,17
2021-07-30,7,5,8,16,7,7,8,10,17,23,6,9
2021-07-31,7,4,7,13,7,20,16,9,16,14,7,16
2021-08-01,0,4,14,20,6,9,4,13,17,23,7,8
2021-08-02,3,11,14,19,9,35,2,15,13,20,9,10
2021-08-03,10,3,11,19,7,7,14,19,20,23,10,12
2021-08-04,3,13,11,29,9,15,8,16,26,14,8,11
2021-08-05,0,7,11,24,7,22,20,8,25,19,7,9
2021-08-06,3,4,7,14,9,11,16,10,22,19,7,8
2021-08-07,14,1,9,16,8,18,10,8,24,13,6,7
2021-08-08,0,6,11,20,5,13,2,15,18,11,6,30
2021-08-09,0,7,12,31,9,16,8,18,19,30,8,8
2021-08-10,3,7,9,27,10,11,10,12,29,25,6,18
2021-08-11,7,7,9,24,9,24,16,14,24,31,8,11
2021-08-12,7,8,9,19,9,13,14,5,15,20,8,21
2021-08-13,0,12,9,14,6,5,4,17,15,15,7,11
2021-08-14,0,4,8,20,6,16,18,9,13,11,7,12
2021-08-15,10,10,4,10,5,15,14,6,16,17,5,17
2021-08-16,17,5,15,10,5,24,2,12,13,16,6,10
2021-08-17,7,5,11,20,11,11,10,10,34,22,9,18
2021-08-18,3,5,13,20,7,11,8,7,23,21,9,24
2021-08-19,3,11,6,22,6,15,18,17,22,23,9,12
2021-08-20,24,5,12,17,9,16,2,22,24,23,9,21
2021-08-21,7,7,9,17,7,20,6,15,15,14,7,6
2021-08-22,0,4,12,16,5,9,0,6,20,20,7,10
2021-08-23,3,11,22,17,10,24,16,19,33,28,13,10
2021-08-24,3,7,15,39,11,20,4,10,27,23,9,6
2021-08-25,3,23,20,28,13,22,10,28,25,40,13,22
2021-08-26,28,11,19,27,13,22,8,19,28,28,10,21
2021-08-27,7,11,24,26,13,33,10,11,15,27,13,20
2021-08-28,10,6,21,12,10,15,2,27,13,11,9,8
2021-08-29,3,6,12,31,12,16,4,9,19,22,11,23
2021-08-30,7,39,29,40,34,13,14,23,28,26,32,31
2021-08-31,17,21,35,37,40,31,22,40,33,34,33,27
2021-09-01,21,38,46,52,67,15,22,52,36,32,55,32
2021-09-02,3,35,47,44,88,24,16,48,29,49,56,28
2021-09-03,10,45,42,26,61,24,36,32,36,30,50,38
2021-09-04,3,30,19,25,32,25,12,30,23,21,24,19
2021-09-05,3,29,12,18,28,7,6,26,26,23,35,27
2021-09-06,21,46,38,43,66,31,24,26,28,34,56,22
2021-09-07,10,32,43,38,64,29,18,40,40,35,48,27
2021-09-08,41,29,27,33,46,22,24,30,38,40,35,45
2021-09-09,14,26,21,27,33,18,24,35,32,31,28,33
2021-09-10,24,17,36,36,31,27,24,20,28,24,27,14
2021-09-11,17,22,15,31,17,16,6,16,27,19,14,14
2021-09-12,7,19,15,32,24,47,2,24,15,26,14,41
2021-09-13,14,19,17,25,28,22,32,17,41,39,26,26
2021-09-14,3,14,21,40,30,22,10,23,30,26,26,20
2021-09-15,14,13,15,23,18,9,26,21,24,40,21,14
2021-09-16,21,14,12,33,20,20,24,23,24,35,20,15
2021-09-17,7,14,10,20,12,20,38,17,23,23,11,24
2021-09-18,7,8,7,10,8,24,8,19,13,19,8,17
2021-09-19,0,5,8,16,11,16,14,12,7,12,8,19
2021-09-20,7,2,5,9,6,15,18,9,7,18,8,18
2021-09-21,0,8,11,11,8,18,6,10,12,13,6,6
2021-09-22,3,2,6,21,12,16,12,10,16,23,8,13
2021-09-23,7,13,17,26,18,25,22,19,34,30,16,27
