네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 30대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",32,47,9
"2021-07-10",37,53,9
"2021-07-11",48,63,12
"2021-07-12",46,58,12
"2021-07-13",47,57,12
"2021-07-14",45,54,12
"2021-07-15",42,53,11
"2021-07-16",35,48,10
"2021-07-17",38,53,10
"2021-07-18",50,64,12
"2021-07-19",43,58,13
"2021-07-20",43,56,13
"2021-07-21",42,54,12
"2021-07-22",39,52,11
"2021-07-23",33,46,10
"2021-07-24",35,49,9
"2021-07-25",44,57,11
"2021-07-26",39,52,12
"2021-07-27",39,53,11
"2021-07-28",36,50,11
"2021-07-29",34,47,10
"2021-07-30",29,42,9
"2021-07-31",31,45,9
"2021-08-01",39,56,12
"2021-08-02",36,52,13
"2021-08-03",35,52,12
"2021-08-04",34,49,11
"2021-08-05",32,48,11
"2021-08-06",28,42,10
"2021-08-07",31,46,9
"2021-08-08",37,55,12
"2021-08-09",33,51,12
"2021-08-10",33,49,12
"2021-08-11",31,47,12
"2021-08-12",29,44,11
"2021-08-13",25,39,9
"2021-08-14",28,42,9
"2021-08-15",32,47,9
"2021-08-16",35,52,12
"2021-08-17",32,47,12
"2021-08-18",32,46,11
"2021-08-19",31,44,11
"2021-08-20",26,40,9
"2021-08-21",31,45,9
"2021-08-22",39,51,11
"2021-08-23",37,50,12
"2021-08-24",36,49,11
"2021-08-25",35,48,11
"2021-08-26",34,46,10
"2021-08-27",32,43,9
"2021-08-28",34,45,8
"2021-08-29",43,53,10
"2021-08-30",39,50,11
"2021-08-31",41,49,11
"2021-09-01",42,51,12
"2021-09-02",40,48,11
"2021-09-03",37,44,10
"2021-09-04",41,47,9
"2021-09-05",52,56,11
"2021-09-06",49,54,12
"2021-09-07",49,51,11
"2021-09-08",45,49,11
"2021-09-09",44,48,10
"2021-09-10",39,45,9
"2021-09-11",43,49,9
"2021-09-12",55,59,11
"2021-09-13",49,55,12
"2021-09-14",46,51,11
"2021-09-15",40,46,10
"2021-09-16",37,42,8
"2021-09-17",33,38,7
"2021-09-18",37,42,7
"2021-09-19",40,46,7
"2021-09-20",39,45,7
"2021-09-21",39,45,8
"2021-09-22",54,58,11
"2021-09-23",52,56,12
"2021-09-24",46,49,10
"2021-09-25",52,52,9
"2021-09-26",64,60,11
"2021-09-27",57,56,13
"2021-09-28",54,53,11
"2021-09-29",52,51,11
"2021-09-30",46,46,10
"2021-10-01",42,44,9
"2021-10-02",46,48,9
"2021-10-03",54,55,10
"2021-10-04",64,62,12
"2021-10-05",52,54,12
"2021-10-06",51,52,11
"2021-10-07",49,49,10
"2021-10-08",42,43,9
"2021-10-09",45,46,8
"2021-10-10",57,54,9
"2021-10-11",73,62,11
"2021-10-12",65,55,12
"2021-10-13",60,51,11
"2021-10-14",57,50,10
"2021-10-15",50,44,9
"2021-10-16",68,49,8
"2021-10-17",100,60,10
"2021-10-18",92,57,12
"2021-10-19",84,54,12
"2021-10-20",81,52,12
"2021-10-21",75,50,11
"2021-10-22",63,44,9
"2021-10-23",69,47,9
"2021-10-24",89,59,11
"2021-10-25",76,55,13
"2021-10-26",73,53,12
"2021-10-27",68,51,11
"2021-10-28",61,48,11
"2021-10-29",54,44,9
"2021-10-30",60,47,9
"2021-10-31",77,57,11
"2021-11-01",72,56,14
"2021-11-02",68,53,12
"2021-11-03",65,51,12
"2021-11-04",60,50,11
"2021-11-05",51,42,9
"2021-11-06",58,46,9
"2021-11-07",78,59,11
"2021-11-08",76,58,12
"2021-11-09",79,56,12
"2021-11-10",80,54,12
"2021-11-11",73,52,11
"2021-11-12",63,45,9
"2021-11-13",64,45,8
"2021-11-14",79,54,10
"2021-11-15",69,52,12
"2021-11-16",66,48,11
"2021-11-17",61,47,11
"2021-11-18",58,45,10
"2021-11-19",54,45,9
"2021-11-20",61,48,9
"2021-11-21",79,59,11
"2021-11-22",79,58,12
"2021-11-23",81,58,12
"2021-11-24",74,53,11
"2021-11-25",64,50,11
"2021-11-26",59,46,10
"2021-11-27",64,50,9
"2021-11-28",84,61,11
"2021-11-29",74,57,13
"2021-11-30",73,59,12
"2021-12-01",80,61,13
"2021-12-02",73,57,12
"2021-12-03",62,51,11
"2021-12-04",69,52,10
"2021-12-05",90,66,13
"2021-12-06",74,61,14
"2021-12-07",71,59,13
"2021-12-08",67,58,13
"2021-12-09",62,54,12
"2021-12-10",54,50,10
"2021-12-11",61,53,10
"2021-12-12",83,66,12
"2021-12-13",75,64,13
"2021-12-14",67,61,13
"2021-12-15",63,59,12
"2021-12-16",55,54,11
"2021-12-17",53,51,10
"2021-12-18",60,56,10
