네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 60대이상

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",43,55,12
"2021-07-10",47,59,13
"2021-07-11",54,64,14
"2021-07-12",50,57,14
"2021-07-13",53,57,14
"2021-07-14",50,55,14
"2021-07-15",51,58,13
"2021-07-16",49,55,13
"2021-07-17",49,62,13
"2021-07-18",53,65,15
"2021-07-19",45,58,15
"2021-07-20",47,56,15
"2021-07-21",47,57,15
"2021-07-22",46,55,14
"2021-07-23",43,54,13
"2021-07-24",44,58,13
"2021-07-25",45,57,14
"2021-07-26",41,52,14
"2021-07-27",39,54,13
"2021-07-28",40,50,13
"2021-07-29",40,47,14
"2021-07-30",36,45,12
"2021-07-31",37,49,13
"2021-08-01",38,53,15
"2021-08-02",35,47,17
"2021-08-03",35,50,16
"2021-08-04",35,48,15
"2021-08-05",35,47,15
"2021-08-06",32,45,14
"2021-08-07",33,51,15
"2021-08-08",36,54,17
"2021-08-09",32,50,17
"2021-08-10",30,45,15
"2021-08-11",31,47,15
"2021-08-12",29,47,15
"2021-08-13",29,43,13
"2021-08-14",31,48,13
"2021-08-15",30,47,15
"2021-08-16",30,49,19
"2021-08-17",27,45,16
"2021-08-18",29,46,16
"2021-08-19",29,46,15
"2021-08-20",29,44,15
"2021-08-21",34,53,14
"2021-08-22",34,52,15
"2021-08-23",34,52,16
"2021-08-24",34,51,16
"2021-08-25",33,50,15
"2021-08-26",31,49,15
"2021-08-27",32,49,14
"2021-08-28",33,52,13
"2021-08-29",39,55,15
"2021-08-30",33,50,14
"2021-08-31",38,51,15
"2021-09-01",40,54,16
"2021-09-02",36,51,16
"2021-09-03",35,47,14
"2021-09-04",39,52,14
"2021-09-05",41,58,19
"2021-09-06",43,53,21
"2021-09-07",44,50,16
"2021-09-08",39,50,16
"2021-09-09",41,52,15
"2021-09-10",38,46,13
"2021-09-11",38,49,12
"2021-09-12",42,53,15
"2021-09-13",40,51,14
"2021-09-14",38,48,14
"2021-09-15",36,44,13
"2021-09-16",33,44,12
"2021-09-17",35,44,11
"2021-09-18",35,47,10
"2021-09-19",38,47,11
"2021-09-20",34,46,10
"2021-09-21",37,49,11
"2021-09-22",45,56,16
"2021-09-23",44,53,17
"2021-09-24",43,53,17
"2021-09-25",50,56,15
"2021-09-26",54,58,15
"2021-09-27",48,55,16
"2021-09-28",50,55,16
"2021-09-29",51,57,16
"2021-09-30",44,51,15
"2021-10-01",46,52,13
"2021-10-02",49,55,14
"2021-10-03",53,58,14
"2021-10-04",54,61,16
"2021-10-05",47,56,15
"2021-10-06",50,55,15
"2021-10-07",49,56,14
"2021-10-08",49,51,14
"2021-10-09",51,54,13
"2021-10-10",55,62,14
"2021-10-11",66,61,15
"2021-10-12",61,57,15
"2021-10-13",57,53,15
"2021-10-14",57,53,14
"2021-10-15",60,53,14
"2021-10-16",70,59,13
"2021-10-17",86,65,15
"2021-10-18",86,59,15
"2021-10-19",83,58,16
"2021-10-20",82,58,15
"2021-10-21",81,59,16
"2021-10-22",77,54,15
"2021-10-23",76,57,14
"2021-10-24",85,64,16
"2021-10-25",80,59,17
"2021-10-26",76,62,17
"2021-10-27",72,59,17
"2021-10-28",71,58,16
"2021-10-29",68,57,15
"2021-10-30",72,60,15
"2021-10-31",81,67,17
