네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 50대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",50,36,10
"2021-07-10",62,44,12
"2021-07-11",67,47,13
"2021-07-12",54,35,12
"2021-07-13",58,37,13
"2021-07-14",59,37,12
"2021-07-15",59,36,12
"2021-07-16",55,36,11
"2021-07-17",65,43,12
"2021-07-18",68,44,13
"2021-07-19",53,36,12
"2021-07-20",52,35,12
"2021-07-21",54,36,12
"2021-07-22",57,36,12
"2021-07-23",53,34,11
"2021-07-24",60,40,13
"2021-07-25",63,41,14
"2021-07-26",47,33,12
"2021-07-27",49,36,12
"2021-07-28",50,34,12
"2021-07-29",50,33,12
"2021-07-30",44,32,11
"2021-07-31",53,37,12
"2021-08-01",52,37,14
"2021-08-02",43,31,13
"2021-08-03",44,33,13
"2021-08-04",45,34,13
"2021-08-05",45,33,13
"2021-08-06",43,31,12
"2021-08-07",48,36,14
"2021-08-08",50,38,14
"2021-08-09",38,29,13
"2021-08-10",38,30,13
"2021-08-11",38,31,13
"2021-08-12",37,31,13
"2021-08-13",36,29,12
"2021-08-14",42,34,13
"2021-08-15",43,35,14
"2021-08-16",41,35,16
"2021-08-17",35,31,13
"2021-08-18",37,32,14
"2021-08-19",37,31,13
"2021-08-20",36,30,12
"2021-08-21",46,37,13
"2021-08-22",45,38,14
"2021-08-23",41,33,13
"2021-08-24",40,33,13
"2021-08-25",41,33,12
"2021-08-26",40,32,12
"2021-08-27",42,33,11
"2021-08-28",47,37,13
"2021-08-29",52,40,13
"2021-08-30",40,32,12
"2021-08-31",45,35,13
"2021-09-01",45,34,13
"2021-09-02",46,34,14
"2021-09-03",45,33,13
"2021-09-04",54,39,14
"2021-09-05",58,42,16
"2021-09-06",47,34,14
"2021-09-07",50,35,13
"2021-09-08",47,35,13
"2021-09-09",47,35,13
"2021-09-10",44,33,12
"2021-09-11",52,40,12
"2021-09-12",57,43,13
"2021-09-13",44,34,13
"2021-09-14",46,33,12
"2021-09-15",43,32,12
"2021-09-16",43,31,11
"2021-09-17",41,30,10
"2021-09-18",46,35,10
"2021-09-19",45,34,10
"2021-09-20",38,29,9
"2021-09-21",42,33,10
"2021-09-22",58,43,14
"2021-09-23",53,38,14
"2021-09-24",52,37,13
"2021-09-25",65,45,14
"2021-09-26",70,48,15
"2021-09-27",55,38,14
"2021-09-28",56,40,14
"2021-09-29",57,40,13
"2021-09-30",53,37,13
"2021-10-01",53,39,12
"2021-10-02",64,45,13
"2021-10-03",68,49,14
"2021-10-04",70,48,15
"2021-10-05",54,40,13
"2021-10-06",57,40,13
"2021-10-07",58,40,13
"2021-10-08",56,38,11
"2021-10-09",64,44,12
"2021-10-10",71,48,13
"2021-10-11",75,48,15
"2021-10-12",64,40,13
"2021-10-13",62,39,13
"2021-10-14",62,40,13
"2021-10-15",61,38,12
"2021-10-16",80,45,12
"2021-10-17",91,48,14
"2021-10-18",80,42,14
"2021-10-19",80,42,14
"2021-10-20",79,42,14
"2021-10-21",79,43,14
"2021-10-22",74,39,13
"2021-10-23",84,45,14
"2021-10-24",92,51,15
"2021-10-25",74,40,15
"2021-10-26",73,43,15
"2021-10-27",71,43,14
"2021-10-28",71,41,14
"2021-10-29",66,40,13
"2021-10-30",80,48,14
"2021-10-31",83,49,16
"2021-11-01",71,43,16
"2021-11-02",72,43,16
"2021-11-03",73,42,15
"2021-11-04",73,44,15
"2021-11-05",66,39,13
"2021-11-06",78,47,14
"2021-11-07",86,51,16
"2021-11-08",81,45,15
"2021-11-09",84,46,15
"2021-11-10",86,47,14
"2021-11-11",84,48,14
"2021-11-12",74,41,12
"2021-11-13",75,41,12
"2021-11-14",77,42,13
"2021-11-15",60,35,12
"2021-11-16",59,34,12
"2021-11-17",59,33,11
"2021-11-18",60,35,11
"2021-11-19",70,41,13
"2021-11-20",81,48,14
"2021-11-21",90,53,16
"2021-11-22",80,45,14
"2021-11-23",85,50,15
"2021-11-24",81,47,15
"2021-11-25",75,44,15
"2021-11-26",72,42,13
"2021-11-27",82,48,15
"2021-11-28",92,54,16
"2021-11-29",75,45,16
"2021-11-30",78,47,16
"2021-12-01",84,50,16
"2021-12-02",80,47,16
"2021-12-03",76,45,14
"2021-12-04",89,54,16
"2021-12-05",95,56,18
"2021-12-06",77,46,17
"2021-12-07",75,47,17
"2021-12-08",74,45,18
"2021-12-09",73,45,16
"2021-12-10",69,42,14
"2021-12-11",82,50,16
"2021-12-12",92,55,18
"2021-12-13",75,46,16
"2021-12-14",72,45,16
"2021-12-15",70,45,16
"2021-12-16",67,44,15
"2021-12-17",68,44,14
"2021-12-18",80,53,16
"2021-12-19",85,57,18
"2021-12-20",60,42,16
"2021-12-21",52,37,14
"2021-12-22",56,39,15
"2021-12-23",60,41,15
"2021-12-24",56,39,13
"2021-12-25",75,51,15
"2021-12-26",84,55,18
"2021-12-27",68,45,16
"2021-12-28",65,44,16
"2021-12-29",65,45,16
"2021-12-30",62,42,16
"2021-12-31",56,38,13
"2022-01-01",72,51,17
"2022-01-02",83,56,21
"2022-01-03",69,48,19
"2022-01-04",70,48,20
"2022-01-05",72,49,20
"2022-01-06",69,46,20
"2022-01-07",68,46,18
"2022-01-08",84,57,20
"2022-01-09",91,59,22
"2022-01-10",68,46,20
"2022-01-11",72,48,20
"2022-01-12",73,50,21
"2022-01-13",72,49,20
"2022-01-14",67,46,19
"2022-01-15",82,56,21
"2022-01-16",88,61,23
"2022-01-17",71,46,20
"2022-01-18",68,46,20
"2022-01-19",69,47,20
"2022-01-20",66,45,19
"2022-01-21",63,43,18
"2022-01-22",78,54,20
"2022-01-23",84,58,23
"2022-01-24",62,44,19
"2022-01-25",61,42,18
"2022-01-26",58,40,17
"2022-01-27",54,38,16
"2022-01-28",51,36,14
"2022-01-29",61,43,16
"2022-01-30",60,43,15
"2022-01-31",50,37,13
"2022-02-01",55,41,17
"2022-02-02",70,50,22
"2022-02-03",61,45,21
"2022-02-04",62,45,21
