네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 60대이상

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",49,36,11
"2021-07-10",55,41,12
"2021-07-11",59,41,13
"2021-07-12",53,35,12
"2021-07-13",56,36,14
"2021-07-14",55,37,12
"2021-07-15",56,36,13
"2021-07-16",53,35,12
"2021-07-17",56,41,12
"2021-07-18",57,39,13
"2021-07-19",51,36,13
"2021-07-20",51,36,13
"2021-07-21",51,36,13
"2021-07-22",54,36,13
"2021-07-23",50,33,11
"2021-07-24",53,38,13
"2021-07-25",55,37,14
"2021-07-26",45,32,12
"2021-07-27",46,35,13
"2021-07-28",46,34,12
"2021-07-29",47,32,12
"2021-07-30",41,30,11
"2021-07-31",47,34,13
"2021-08-01",47,34,14
"2021-08-02",41,32,15
"2021-08-03",41,31,14
"2021-08-04",43,32,14
"2021-08-05",43,32,14
"2021-08-06",42,31,13
"2021-08-07",42,34,15
"2021-08-08",44,34,15
"2021-08-09",38,30,14
"2021-08-10",36,30,14
"2021-08-11",38,30,15
"2021-08-12",37,30,14
"2021-08-13",35,29,12
"2021-08-14",38,32,13
"2021-08-15",38,31,14
"2021-08-16",37,31,16
"2021-08-17",34,30,14
"2021-08-18",35,30,14
"2021-08-19",35,29,14
"2021-08-20",35,28,14
"2021-08-21",41,33,13
"2021-08-22",38,33,15
"2021-08-23",39,32,14
"2021-08-24",40,32,14
"2021-08-25",40,32,13
"2021-08-26",38,30,13
"2021-08-27",40,32,12
"2021-08-28",41,34,13
"2021-08-29",44,36,14
"2021-08-30",39,31,13
"2021-08-31",44,34,14
"2021-09-01",44,34,15
"2021-09-02",44,34,16
"2021-09-03",41,32,14
"2021-09-04",45,35,15
"2021-09-05",49,38,16
"2021-09-06",43,32,16
"2021-09-07",46,33,15
"2021-09-08",43,33,14
"2021-09-09",43,33,14
"2021-09-10",40,31,12
"2021-09-11",42,34,12
"2021-09-12",45,36,13
"2021-09-13",39,31,13
"2021-09-14",41,30,13
"2021-09-15",38,30,13
"2021-09-16",38,29,12
"2021-09-17",37,29,10
"2021-09-18",37,30,10
"2021-09-19",34,29,9
"2021-09-20",31,25,9
"2021-09-21",38,30,11
"2021-09-22",51,39,15
"2021-09-23",49,38,15
"2021-09-24",48,37,15
"2021-09-25",56,42,15
"2021-09-26",59,43,15
"2021-09-27",51,36,15
"2021-09-28",53,39,15
"2021-09-29",53,39,15
"2021-09-30",50,36,14
"2021-10-01",50,38,13
"2021-10-02",53,41,14
"2021-10-03",58,43,14
"2021-10-04",59,44,15
"2021-10-05",52,39,14
"2021-10-06",54,39,14
"2021-10-07",56,40,14
"2021-10-08",55,37,12
"2021-10-09",55,39,12
"2021-10-10",61,43,13
"2021-10-11",64,44,15
"2021-10-12",61,39,14
"2021-10-13",58,38,14
"2021-10-14",58,38,13
"2021-10-15",59,39,14
"2021-10-16",69,42,12
"2021-10-17",77,44,14
"2021-10-18",72,41,14
"2021-10-19",73,41,15
"2021-10-20",73,41,15
"2021-10-21",74,42,15
"2021-10-22",69,38,14
"2021-10-23",73,42,14
"2021-10-24",77,47,15
"2021-10-25",69,40,15
"2021-10-26",69,43,15
"2021-10-27",68,43,15
"2021-10-28",66,41,16
"2021-10-29",64,40,15
"2021-10-30",71,45,15
"2021-10-31",71,45,16
"2021-11-01",69,46,18
"2021-11-02",69,44,17
"2021-11-03",70,42,16
"2021-11-04",70,43,16
"2021-11-05",63,40,14
"2021-11-06",67,45,14
"2021-11-07",74,45,16
"2021-11-08",79,45,16
"2021-11-09",79,45,16
"2021-11-10",78,47,16
"2021-11-11",78,48,16
"2021-11-12",72,42,13
"2021-11-13",68,40,13
"2021-11-14",66,39,14
"2021-11-15",57,36,14
"2021-11-16",57,36,13
