네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 컴퓨터/IT
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 40대

"날짜","컴퓨터/IT"
"2021-07-09",20
"2021-07-10",10
"2021-07-11",17
"2021-07-12",23
"2021-07-13",27
"2021-07-14",32
"2021-07-15",31
"2021-07-16",28
"2021-07-17",23
"2021-07-18",15
"2021-07-19",41
"2021-07-20",32
"2021-07-21",28
"2021-07-22",26
"2021-07-23",31
"2021-07-24",18
"2021-07-25",24
"2021-07-26",26
"2021-07-27",18
"2021-07-28",27
"2021-07-29",21
"2021-07-30",17
"2021-07-31",16
"2021-08-01",17
"2021-08-02",13
"2021-08-03",20
"2021-08-04",26
"2021-08-05",25
"2021-08-06",22
"2021-08-07",24
"2021-08-08",18
"2021-08-09",19
"2021-08-10",29
"2021-08-11",24
"2021-08-12",15
"2021-08-13",15
"2021-08-14",13
"2021-08-15",16
"2021-08-16",13
"2021-08-17",34
"2021-08-18",23
"2021-08-19",22
"2021-08-20",24
"2021-08-21",15
"2021-08-22",20
"2021-08-23",33
"2021-08-24",27
"2021-08-25",25
"2021-08-26",28
"2021-08-27",15
"2021-08-28",13
"2021-08-29",19
"2021-08-30",28
"2021-08-31",33
"2021-09-01",36
"2021-09-02",29
"2021-09-03",36
"2021-09-04",23
"2021-09-05",26
"2021-09-06",28
"2021-09-07",40
"2021-09-08",38
"2021-09-09",32
"2021-09-10",28
"2021-09-11",27
"2021-09-12",15
"2021-09-13",41
"2021-09-14",30
"2021-09-15",24
"2021-09-16",24
"2021-09-17",23
"2021-09-18",13
"2021-09-19",7
"2021-09-20",7
"2021-09-21",12
"2021-09-22",16
"2021-09-23",34
"2021-09-24",25
"2021-09-25",18
"2021-09-26",20
"2021-09-27",28
"2021-09-28",30
"2021-09-29",25
"2021-09-30",24
"2021-10-01",23
"2021-10-02",30
"2021-10-03",18
"2021-10-04",26
"2021-10-05",25
"2021-10-06",27
"2021-10-07",30
"2021-10-08",28
"2021-10-09",21
"2021-10-10",16
"2021-10-11",19
"2021-10-12",39
"2021-10-13",31
"2021-10-14",21
"2021-10-15",30
"2021-10-16",32
"2021-10-17",20
"2021-10-18",34
"2021-10-19",35
"2021-10-20",31
"2021-10-21",30
"2021-10-22",25
"2021-10-23",33
"2021-10-24",21
"2021-10-25",40
"2021-10-26",50
"2021-10-27",36
"2021-10-28",46
"2021-10-29",48
"2021-10-30",27
"2021-10-31",27
"2021-11-01",32
"2021-11-02",51
"2021-11-03",31
"2021-11-04",48
"2021-11-05",52
"2021-11-06",45
"2021-11-07",34
"2021-11-08",89
"2021-11-09",52
"2021-11-10",52
"2021-11-11",44
"2021-11-12",31
"2021-11-13",26
"2021-11-14",34
"2021-11-15",40
"2021-11-16",59
"2021-11-17",37
"2021-11-18",40
"2021-11-19",37
"2021-11-20",39
"2021-11-21",46
"2021-11-22",77
"2021-11-23",60
"2021-11-24",47
"2021-11-25",50
"2021-11-26",42
"2021-11-27",22
"2021-11-28",49
"2021-11-29",64
"2021-11-30",67
"2021-12-01",67
"2021-12-02",65
"2021-12-03",49
"2021-12-04",30
"2021-12-05",61
"2021-12-06",68
"2021-12-07",72
