네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 컴퓨터/IT
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 60대이상

"날짜","컴퓨터/IT"
"2021-07-09",0
"2021-07-10",14
"2021-07-11",7
"2021-07-12",7
"2021-07-13",7
"2021-07-14",3
"2021-07-15",3
"2021-07-16",10
"2021-07-17",7
"2021-07-18",21
"2021-07-19",3
"2021-07-20",3
"2021-07-21",34
"2021-07-22",14
"2021-07-23",7
"2021-07-24",0
"2021-07-25",10
"2021-07-26",0
"2021-07-27",3
"2021-07-28",3
"2021-07-29",7
"2021-07-30",7
"2021-07-31",7
"2021-08-01",0
"2021-08-02",3
"2021-08-03",10
"2021-08-04",3
"2021-08-05",0
"2021-08-06",3
"2021-08-07",14
"2021-08-08",0
"2021-08-09",0
"2021-08-10",3
"2021-08-11",7
"2021-08-12",7
"2021-08-13",0
"2021-08-14",0
"2021-08-15",10
"2021-08-16",17
"2021-08-17",7
"2021-08-18",3
"2021-08-19",3
"2021-08-20",24
"2021-08-21",7
"2021-08-22",0
"2021-08-23",3
"2021-08-24",3
"2021-08-25",3
"2021-08-26",28
"2021-08-27",7
"2021-08-28",10
"2021-08-29",3
"2021-08-30",7
"2021-08-31",17
"2021-09-01",21
"2021-09-02",3
"2021-09-03",10
"2021-09-04",3
"2021-09-05",3
"2021-09-06",21
"2021-09-07",10
"2021-09-08",41
"2021-09-09",14
"2021-09-10",24
"2021-09-11",17
"2021-09-12",7
"2021-09-13",14
"2021-09-14",3
"2021-09-15",14
"2021-09-16",21
"2021-09-17",7
"2021-09-18",7
"2021-09-19",0
"2021-09-20",7
"2021-09-21",0
"2021-09-22",3
"2021-09-23",7
"2021-09-24",21
"2021-09-25",14
"2021-09-26",0
"2021-09-27",24
"2021-09-28",7
"2021-09-29",17
"2021-09-30",14
"2021-10-01",10
"2021-10-02",10
"2021-10-03",10
"2021-10-04",7
"2021-10-05",17
"2021-10-06",17
"2021-10-07",28
"2021-10-08",10
"2021-10-09",3
"2021-10-10",3
"2021-10-11",7
"2021-10-12",0
"2021-10-13",14
"2021-10-14",14
"2021-10-15",24
"2021-10-16",0
"2021-10-17",3
"2021-10-18",3
"2021-10-19",0
"2021-10-20",24
"2021-10-21",14
"2021-10-22",7
"2021-10-23",7
"2021-10-24",7
"2021-10-25",17
"2021-10-26",14
"2021-10-27",10
"2021-10-28",14
"2021-10-29",14
"2021-10-30",52
"2021-10-31",3
"2021-11-01",10
"2021-11-02",3
"2021-11-03",24
"2021-11-04",0
"2021-11-05",17
"2021-11-06",14
"2021-11-07",7
"2021-11-08",21
"2021-11-09",7
"2021-11-10",14
"2021-11-11",17
"2021-11-12",3
"2021-11-13",24
"2021-11-14",14
"2021-11-15",14
"2021-11-16",10
"2021-11-17",0
"2021-11-18",7
"2021-11-19",14
"2021-11-20",14
"2021-11-21",0
"2021-11-22",21
"2021-11-23",14
"2021-11-24",7
"2021-11-25",14
"2021-11-26",24
"2021-11-27",7
"2021-11-28",10
"2021-11-29",10
"2021-11-30",0
"2021-12-01",24
"2021-12-02",10
"2021-12-03",21
"2021-12-04",24
"2021-12-05",10
"2021-12-06",14
"2021-12-07",7
"2021-12-08",10
"2021-12-09",14
"2021-12-10",3
"2021-12-11",14
"2021-12-12",0
"2021-12-13",21
"2021-12-14",7
"2021-12-15",7
"2021-12-16",17
"2021-12-17",62
"2021-12-18",7
"2021-12-19",3
"2021-12-20",14
"2021-12-21",10
"2021-12-22",34
"2021-12-23",10
"2021-12-24",7
"2021-12-25",10
"2021-12-26",7
"2021-12-27",21
"2021-12-28",14
"2021-12-29",31
"2021-12-30",10
"2021-12-31",10
"2022-01-01",28
"2022-01-02",41
"2022-01-03",24
"2022-01-04",52
"2022-01-05",24
"2022-01-06",38
"2022-01-07",3
"2022-01-08",69
"2022-01-09",76
"2022-01-10",48
"2022-01-11",21
"2022-01-12",41
"2022-01-13",38
"2022-01-14",17
"2022-01-15",21
"2022-01-16",7
"2022-01-17",3
"2022-01-18",17
"2022-01-19",17
"2022-01-20",10
"2022-01-21",28
"2022-01-22",62
"2022-01-23",7
"2022-01-24",3
"2022-01-25",38
"2022-01-26",10
"2022-01-27",100
"2022-01-28",3
"2022-01-29",31
"2022-01-30",17
"2022-01-31",7
"2022-02-01",21
"2022-02-02",14
"2022-02-03",14
"2022-02-04",17
"2022-02-05",31
"2022-02-06",3
"2022-02-07",31
"2022-02-08",28
"2022-02-09",24
"2022-02-10",7
"2022-02-11",34
"2022-02-12",3
"2022-02-13",3
"2022-02-14",7
"2022-02-15",34
"2022-02-16",28
"2022-02-17",28
"2022-02-18",34
"2022-02-19",10
"2022-02-20",14
"2022-02-21",14
"2022-02-22",38
"2022-02-23",38
"2022-02-24",28
"2022-02-25",3
"2022-02-26",14
"2022-02-27",10
"2022-02-28",10
"2022-03-01",7
"2022-03-02",83
"2022-03-03",45
"2022-03-04",24
"2022-03-05",7
"2022-03-06",17
"2022-03-07",28
"2022-03-08",14
"2022-03-09",21
"2022-03-10",66
"2022-03-11",28
"2022-03-12",31
"2022-03-13",17
"2022-03-14",31
"2022-03-15",28
"2022-03-16",10
"2022-03-17",34
"2022-03-18",7
"2022-03-19",48
"2022-03-20",17
"2022-03-21",76
"2022-03-22",10
"2022-03-23",17
"2022-03-24",72
"2022-03-25",10
"2022-03-26",3
"2022-03-27",10
"2022-03-28",3
"2022-03-29",10
"2022-03-30",0
"2022-03-31",24
"2022-04-01",28
"2022-04-02",3
"2022-04-03",10
"2022-04-04",21
"2022-04-05",7
"2022-04-06",7
"2022-04-07",7
"2022-04-08",0
"2022-04-09",21
"2022-04-10",3
"2022-04-11",17
"2022-04-12",17
"2022-04-13",21
"2022-04-14",7
"2022-04-15",10
"2022-04-16",7
"2022-04-17",7
"2022-04-18",10
"2022-04-19",10
"2022-04-20",10
"2022-04-21",14
"2022-04-22",10
"2022-04-23",17
"2022-04-24",14
"2022-04-25",24
"2022-04-26",14
"2022-04-27",38
"2022-04-28",3
"2022-04-29",3
"2022-04-30",10
"2022-05-01",3
"2022-05-02",17
"2022-05-03",24
"2022-05-04",10
"2022-05-05",7
"2022-05-06",10
"2022-05-07",10
"2022-05-08",3
"2022-05-09",7
"2022-05-10",7
"2022-05-11",17
"2022-05-12",17
"2022-05-13",0
"2022-05-14",3
"2022-05-15",14
"2022-05-16",7
"2022-05-17",17
"2022-05-18",14
"2022-05-19",7
"2022-05-20",14
"2022-05-21",14
"2022-05-22",10
"2022-05-23",17
"2022-05-24",38
"2022-05-25",14
"2022-05-26",17
"2022-05-27",14
"2022-05-28",7
"2022-05-29",31
"2022-05-30",10
"2022-05-31",21
"2022-06-01",14
"2022-06-02",31
"2022-06-03",72
"2022-06-04",14
"2022-06-05",3
"2022-06-06",10
"2022-06-07",28
"2022-06-08",17
"2022-06-09",17
"2022-06-10",10
"2022-06-11",0
"2022-06-12",10
"2022-06-13",24
"2022-06-14",0
"2022-06-15",28
"2022-06-16",34
"2022-06-17",3
"2022-06-18",3
"2022-06-19",21
"2022-06-20",0
"2022-06-21",31
"2022-06-22",7
"2022-06-23",10
"2022-06-24",3
"2022-06-25",21
"2022-06-26",24
"2022-06-27",34
"2022-06-28",24
"2022-06-29",28
"2022-06-30",28
"2022-07-01",17
"2022-07-02",7
"2022-07-03",10
"2022-07-04",24
"2022-07-05",38
"2022-07-06",7
"2022-07-07",14
"2022-07-08",0
"2022-07-09",0
