날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-07-09,48,62,59,51,53,59,49,65,57,50,49,54
2021-07-10,65,65,66,58,59,62,70,71,65,60,60,61
2021-07-11,79,81,85,71,68,68,78,88,82,74,68,66
2021-07-12,63,84,85,70,67,68,62,86,78,66,58,61
2021-07-13,58,83,79,66,64,67,58,82,75,64,58,62
2021-07-14,61,79,75,63,63,68,60,81,72,62,58,61
2021-07-15,57,76,71,60,60,63,59,77,68,60,56,61
2021-07-16,59,65,62,53,55,60,57,69,61,53,52,56
2021-07-17,67,69,69,61,62,64,71,73,69,65,63,63
2021-07-18,76,82,86,73,70,72,75,88,84,75,71,68
2021-07-19,66,86,85,68,66,69,69,85,78,65,59,60
2021-07-20,65,81,78,64,60,64,64,80,74,61,55,58
2021-07-21,62,77,74,61,58,63,61,80,72,59,54,57
2021-07-22,65,74,71,59,59,62,60,77,70,59,56,57
2021-07-23,57,66,62,53,55,60,59,68,62,53,52,55
2021-07-24,64,67,65,56,56,59,62,70,65,60,60,60
2021-07-25,75,77,81,66,63,63,65,85,79,69,67,65
2021-07-26,63,80,78,61,60,62,58,81,72,58,53,54
2021-07-27,66,76,72,59,57,58,54,75,67,56,52,54
2021-07-28,62,71,69,56,54,56,55,73,65,55,52,52
2021-07-29,57,70,67,54,53,58,58,71,63,54,52,55
2021-07-30,56,63,59,48,48,52,55,63,55,49,47,48
2021-07-31,62,65,62,53,52,53,59,65,61,56,56,56
2021-08-01,75,81,80,64,59,58,69,81,74,65,61,59
2021-08-02,69,81,78,62,58,58,65,77,69,58,53,53
2021-08-03,66,77,74,60,58,55,65,76,66,57,52,53
2021-08-04,66,76,71,58,56,56,65,75,66,58,55,53
2021-08-05,66,74,69,57,56,57,63,74,65,56,54,55
2021-08-06,61,66,61,52,52,54,60,67,59,52,51,53
2021-08-07,67,68,67,57,57,57,65,72,65,60,59,59
2021-08-08,73,80,81,69,64,63,75,85,79,69,65,61
2021-08-09,71,82,80,64,62,64,68,82,74,61,55,59
2021-08-10,65,77,74,60,57,60,66,78,70,59,53,54
2021-08-11,71,78,73,60,57,62,68,78,71,62,56,57
2021-08-12,67,74,67,56,55,58,65,75,67,58,52,54
2021-08-13,66,64,60,50,51,55,61,67,60,53,50,51
2021-08-14,67,65,65,58,58,61,69,71,67,63,60,58
2021-08-15,73,72,72,64,61,65,74,80,74,69,66,63
2021-08-16,82,85,85,73,68,68,75,89,83,75,68,66
2021-08-17,66,83,78,65,62,61,66,85,76,65,58,58
2021-08-18,64,78,74,62,61,61,65,81,73,65,58,57
2021-08-19,62,73,69,59,59,60,64,79,71,62,57,57
2021-08-20,55,66,61,53,54,57,60,71,63,56,53,55
2021-08-21,73,69,69,63,63,68,78,78,72,68,65,64
2021-08-22,82,81,84,72,67,67,87,91,86,78,70,63
2021-08-23,72,88,84,71,69,72,74,94,84,72,64,64
2021-08-24,65,83,77,66,65,69,65,88,77,67,61,61
2021-08-25,73,82,75,64,62,68,65,85,74,65,59,60
2021-08-26,65,79,71,59,59,64,64,84,71,63,57,58
2021-08-27,59,71,64,56,57,63,61,77,65,59,55,59
2021-08-28,68,72,66,61,59,63,79,78,68,64,62,61
2021-08-29,86,86,84,74,71,71,90,95,85,78,72,67
2021-08-30,68,91,83,70,66,69,67,93,81,68,62,62
2021-08-31,61,89,79,67,65,70,58,89,77,67,62,65
2021-09-01,62,86,76,65,64,71,62,87,74,64,61,64
2021-09-02,65,80,73,62,60,65,66,84,72,64,59,62
2021-09-03,62,72,65,56,56,63,62,73,64,58,56,58
2021-09-04,71,69,68,60,59,64,79,75,67,65,63,63
2021-09-05,91,86,87,76,71,72,96,93,84,78,74,71
