날짜,도서_남자_10,도서_남자_20,도서_남자_30,도서_남자_40,도서_남자_50,도서_남자_60,도서_여자_10,도서_여자_20,도서_여자_30,도서_여자_40,도서_여자_50,도서_여자_60
2021-07-09,23,20,33,32,25,25,27,27,42,29,26,28
2021-07-10,23,19,33,34,27,24,28,24,38,28,25,28
2021-07-11,26,22,39,40,30,31,33,27,42,31,25,30
2021-07-12,31,29,45,42,31,32,36,35,51,36,30,32
2021-07-13,28,28,43,38,30,33,32,34,52,37,30,35
2021-07-14,27,26,44,39,29,29,32,32,53,37,29,33
2021-07-15,27,24,39,36,30,28,31,30,51,35,29,32
2021-07-16,25,21,35,34,26,27,30,29,45,33,29,30
2021-07-17,24,18,34,35,25,27,30,23,40,30,27,30
2021-07-18,25,21,38,40,31,28,33,26,43,32,27,30
2021-07-19,30,27,44,42,33,32,35,33,53,41,31,36
2021-07-20,26,26,43,41,31,30,34,33,55,40,30,33
2021-07-21,25,25,42,40,29,33,31,33,56,40,31,32
2021-07-22,23,22,41,37,27,30,28,31,54,40,29,35
2021-07-23,19,20,36,32,24,29,25,27,51,34,27,30
2021-07-24,17,17,32,32,22,27,24,24,42,29,23,30
2021-07-25,17,19,37,36,27,24,24,24,45,31,23,30
2021-07-26,23,24,42,37,26,32,26,31,51,37,28,30
2021-07-27,21,23,39,36,26,28,24,30,52,36,27,34
2021-07-28,20,21,39,34,25,29,24,27,50,34,26,30
2021-07-29,20,22,39,34,27,29,24,28,49,33,27,34
2021-07-30,17,18,35,29,24,24,23,25,44,29,24,33
2021-07-31,16,17,31,30,23,24,22,22,38,26,22,27
2021-08-01,18,22,39,36,24,29,23,25,44,29,23,30
2021-08-02,21,26,42,36,28,27,25,30,49,33,26,32
2021-08-03,22,25,42,38,27,29,27,31,50,35,29,35
2021-08-04,20,26,43,37,26,23,28,31,50,35,28,32
2021-08-05,21,24,41,35,26,29,28,32,50,34,27,33
2021-08-06,18,21,36,30,25,28,26,27,45,29,25,31
2021-08-07,16,19,34,32,23,25,24,23,41,26,22,27
2021-08-08,18,21,41,37,25,30,26,26,48,30,25,33
2021-08-09,23,28,47,39,32,34,32,33,55,37,30,34
2021-08-10,21,24,41,34,24,29,27,29,52,34,27,31
2021-08-11,20,21,38,33,26,28,25,28,49,33,25,32
2021-08-12,20,22,40,36,27,28,27,31,54,36,27,34
2021-08-13,19,18,36,31,25,28,25,26,47,30,26,32
2021-08-14,16,20,35,33,23,29,24,22,41,27,23,30
2021-08-15,18,20,35,33,24,31,24,25,41,25,23,32
2021-08-16,22,23,43,42,28,33,30,29,48,33,28,33
2021-08-17,29,29,47,42,31,31,36,33,54,38,31,35
2021-08-18,30,26,45,41,30,32,34,33,56,38,32,33
2021-08-19,29,25,44,39,30,34,34,32,54,39,31,33
2021-08-20,24,25,38,34,30,34,30,30,48,34,27,33
2021-08-21,21,21,37,37,27,32,28,25,45,31,26,30
2021-08-22,24,24,43,40,30,28,33,28,49,33,29,32
2021-08-23,30,31,51,45,36,41,35,38,60,44,36,35
2021-08-24,31,31,49,45,35,41,35,38,63,45,35,39
2021-08-25,31,30,48,45,36,34,37,40,65,46,37,39
2021-08-26,28,29,44,42,33,33,33,37,59,44,35,41
2021-08-27,25,26,41,35,30,33,30,35,53,38,31,38
2021-08-28,23,22,37,36,30,31,30,29,43,32,29,35
2021-08-29,27,27,45,44,34,31,33,34,47,36,31,39
2021-08-30,30,42,49,46,35,33,33,52,57,46,37,39
2021-08-31,28,45,54,47,37,38,33,59,61,50,43,41
2021-09-01,33,57,54,48,43,43,39,73,64,51,46,48
2021-09-02,35,55,49,47,40,43,41,72,60,49,43,44
2021-09-03,30,45,44,42,37,45,36,58,52,40,39,39
2021-09-04,29,31,38,41,34,31,36,39,42,35,34,37
