날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-07-09,45,72,70,69,61,63,45,71,67,67,63,62
2021-07-10,58,75,73,74,66,64,60,76,73,78,72,66
2021-07-11,65,87,88,86,74,70,67,93,90,92,82,72
2021-07-12,59,98,100,93,80,77,59,99,96,95,82,78
2021-07-13,57,100,100,94,82,78,55,100,98,98,87,82
2021-07-14,56,98,100,95,85,82,55,99,99,100,90,85
2021-07-15,54,95,96,92,84,83,53,95,94,96,89,83
2021-07-16,53,85,84,81,75,75,51,83,80,81,78,76
2021-07-17,58,80,81,82,76,74,59,83,81,86,82,74
2021-07-18,62,89,91,88,80,75,62,92,91,91,86,77
2021-07-19,59,96,99,91,81,80,54,93,93,90,81,78
2021-07-20,57,91,94,87,75,76,52,89,88,86,75,73
2021-07-21,56,91,94,87,77,77,53,90,89,87,79,77
2021-07-22,54,87,90,84,77,76,51,88,86,85,80,73
2021-07-23,51,82,80,76,70,71,50,80,75,75,73,69
2021-07-24,53,80,79,76,71,69,54,81,79,83,83,73
2021-07-25,55,86,87,81,76,71,54,88,87,88,85,74
2021-07-26,54,91,94,83,75,71,49,88,87,82,76,72
2021-07-27,54,86,87,80,72,69,47,85,82,81,76,72
2021-07-28,53,82,83,78,70,69,49,80,78,76,72,68
2021-07-29,54,79,80,74,68,67,49,77,74,73,70,67
2021-07-30,51,72,70,66,61,60,45,68,65,65,63,61
2021-07-31,53,73,71,69,64,62,48,70,69,74,71,67
2021-08-01,58,84,82,77,69,65,54,84,80,79,75,68
2021-08-02,58,86,86,77,68,65,53,82,77,75,69,66
2021-08-03,58,83,82,76,67,63,52,81,75,74,67,65
2021-08-04,57,81,80,73,64,61,51,79,73,72,66,63
2021-08-05,57,80,79,73,64,63,52,79,73,72,67,65
2021-08-06,51,73,71,66,60,60,49,70,66,66,62,61
2021-08-07,54,72,69,67,61,59,53,71,67,70,66,62
2021-08-08,57,79,77,73,65,62,56,80,75,74,69,63
2021-08-09,57,83,82,73,66,65,53,81,74,70,63,62
2021-08-10,56,82,78,70,62,63,54,79,71,68,60,58
