날짜,생활건강_남성_10대,생활건강_남성_20대,생활건강_남성_30대,생활건강_남성_40대,생활건강_남성_50대,생활건강_남성_60대,생활건강_여성_10대,생활건강_여성_20대,생활건강_여성_30대,생활건강_여성_40대,생활건강_여성_50대,생활건강_여성_60대
2021-07-09,57,70,68,63,60,61,50,61,58,50,50,52
2021-07-10,71,66,64,62,58,57,65,60,58,54,54,54
2021-07-11,79,75,74,71,64,62,75,71,71,63,60,59
2021-07-12,68,87,87,79,70,68,64,77,75,62,57,58
2021-07-13,64,84,84,76,69,64,59,75,73,59,55,56
2021-07-14,63,82,83,75,68,64,58,73,72,59,55,56
2021-07-15,63,79,79,72,66,63,58,69,67,56,54,56
2021-07-16,60,71,70,65,61,59,59,62,59,51,50,52
2021-07-17,68,67,64,64,59,57,65,60,59,53,53,54
2021-07-18,73,74,76,72,65,63,70,70,70,62,59,57
2021-07-19,69,86,87,79,70,67,63,73,74,61,55,57
2021-07-20,69,82,86,77,67,66,63,73,73,60,54,58
2021-07-21,68,82,83,75,66,61,65,73,72,59,54,56
2021-07-22,67,79,80,74,66,62,65,71,71,58,56,57
2021-07-23,63,70,70,65,60,59,62,63,61,52,50,53
2021-07-24,66,65,64,61,56,53,62,59,58,53,54,53
2021-07-25,71,73,73,67,62,57,64,66,68,59,59,55
2021-07-26,68,82,83,73,65,61,62,71,71,57,53,53
2021-07-27,68,80,81,73,66,60,62,69,69,57,55,55
2021-07-28,69,78,77,70,63,58,62,67,66,56,53,54
2021-07-29,68,75,75,67,61,56,62,64,63,54,53,54
2021-07-30,65,68,66,60,56,53,58,57,55,48,48,49
2021-07-31,66,63,60,58,55,52,61,55,55,51,53,53
2021-08-01,72,75,72,66,59,56,67,66,67,59,58,56
2021-08-02,72,82,80,70,63,58,68,70,68,57,54,55
2021-08-03,73,81,80,71,64,59,70,70,68,58,56,55
2021-08-04,70,78,77,69,63,57,69,69,67,58,56,56
2021-08-05,71,78,77,68,62,58,68,68,67,57,55,57
2021-08-06,67,70,67,61,58,55,64,60,59,53,52,54
2021-08-07,69,65,63,60,57,54,68,59,58,55,55,54
2021-08-08,74,74,73,67,63,58,73,68,69,61,59,58
2021-08-09,75,84,83,72,67,65,70,72,72,60,56,58
2021-08-10,73,82,80,70,65,61,71,72,70,58,54,55
2021-08-11,73,81,80,71,65,62,72,72,71,60,56,58
2021-08-12,72,76,75,67,63,59,71,67,66,58,55,56
2021-08-13,68,68,65,60,57,57,66,60,57,51,51,52
2021-08-14,69,64,61,59,58,56,67,58,57,55,55,55
2021-08-15,70,69,65,61,60,57,71,63,63,58,59,57
2021-08-16,72,78,77,71,67,62,71,70,71,64,62,61
2021-08-17,69,82,81,72,67,62,67,73,72,62,57,58
2021-08-18,66,79,79,71,67,62,66,71,71,62,57,58
2021-08-19,65,77,76,69,65,62,66,70,69,61,57,58
2021-08-20,61,69,67,62,60,57,61,63,61,54,53,54
2021-08-21,72,66,64,64,63,62,74,62,62,59,59,59
2021-08-22,79,73,72,68,63,58,84,72,71,64,62,58
2021-08-23,70,84,84,76,73,69,68,78,78,66,62,60
2021-08-24,65,81,81,74,71,67,63,74,73,64,60,62
2021-08-25,69,81,80,73,68,66,63,73,72,62,60,60
2021-08-26,65,79,75,69,65,62,62,73,69,60,57,57
2021-08-27,63,72,69,65,63,62,60,66,62,55,55,55
2021-08-28,72,66,62,61,59,57,73,62,59,56,57,56
2021-08-29,83,75,73,71,67,63,82,73,71,65,64,62
2021-08-30,69,86,84,76,70,67,66,79,76,64,59,59
2021-08-31,64,85,83,75,71,69,60,79,75,64,61,63
2021-09-01,69,85,83,75,71,70,65,77,74,64,62,64
2021-09-02,70,81,78,71,68,65,65,73,70,61,60,61
2021-09-03,66,74,70,65,63,62,63,66,62,55,55,57
2021-09-04,74,68,64,63,60,58,71,63,59,57,59,57
2021-09-05,84,77,75,73,68,63,79,73,71,65,65,62
2021-09-06,69,90,87,78,74,68,63,78,74,64,61,62
