날짜,스포츠레저_남성_10대,스포츠레저_남성_20대,스포츠레저_남성_30대,스포츠레저_남성_40대,스포츠레저_남성_50대,스포츠레저_남성_60대,스포츠레저_여성_10대,스포츠레저_여성_20대,스포츠레저_여성_30대,스포츠레저_여성_40대,스포츠레저_여성_50대,스포츠레저_여성_60대
2021-07-09,50,57,55,53,53,58,17,35,46,42,44,51
2021-07-10,65,58,58,61,60,61,25,38,53,51,55,54
2021-07-11,75,68,75,77,72,70,28,48,70,64,62,61
2021-07-12,69,77,81,75,69,66,23,50,69,58,51,55
2021-07-13,61,75,77,73,67,65,21,49,67,57,53,60
2021-07-14,61,72,73,69,63,63,21,48,66,57,53,58
2021-07-15,59,67,69,65,62,64,21,45,60,54,55,59
2021-07-16,55,60,60,58,58,62,20,39,53,48,50,56
2021-07-17,62,57,61,65,64,65,25,41,60,59,59,59
2021-07-18,69,69,80,81,76,74,28,50,81,74,66,66
2021-07-19,64,74,84,79,69,68,23,52,78,65,54,59
2021-07-20,61,73,81,76,65,66,26,50,75,64,53,58
2021-07-21,64,71,77,72,63,62,26,50,73,61,54,57
2021-07-22,62,68,72,68,62,62,25,47,68,59,55,61
2021-07-23,55,59,62,58,56,60,22,40,57,52,51,54
2021-07-24,59,58,61,62,61,62,26,41,63,61,62,59
2021-07-25,67,67,77,75,71,65,28,51,82,75,70,66
2021-07-26,66,75,81,71,63,60,28,54,81,66,53,56
2021-07-27,64,72,77,69,61,58,28,52,76,64,54,57
2021-07-28,63,67,71,64,58,56,26,48,69,60,51,55
2021-07-29,63,64,66,60,55,55,25,44,65,57,52,54
2021-07-30,59,57,56,52,50,51,22,38,53,48,45,49
2021-07-31,59,56,57,56,55,54,23,39,58,56,53,54
2021-08-01,66,66,71,68,63,60,28,49,72,65,58,56
2021-08-02,64,70,72,64,58,56,27,50,68,58,49,51
2021-08-03,64,68,72,65,58,57,26,48,67,58,49,50
2021-08-04,65,67,68,62,56,55,25,48,66,59,51,54
