날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-07-09,31,54,49,48,48,49,39,57,50,50,47,44
2021-07-10,37,50,44,47,48,52,47,54,47,50,49,45
2021-07-11,43,58,55,57,56,56,53,65,58,60,56,50
2021-07-12,44,72,69,64,59,58,53,76,68,67,58,51
2021-07-13,43,72,69,64,59,58,50,76,68,66,59,53
2021-07-14,40,69,66,62,58,57,46,73,66,64,58,52
2021-07-15,38,64,62,60,56,55,46,69,62,61,56,51
2021-07-16,36,55,51,51,50,51,43,60,52,53,51,47
2021-07-17,40,50,45,48,50,52,50,57,50,53,51,46
2021-07-18,41,61,57,60,60,60,56,67,60,64,60,51
2021-07-19,44,72,69,66,59,58,52,77,70,68,59,53
2021-07-20,44,71,69,64,58,58,53,76,70,67,59,56
2021-07-21,40,68,65,62,56,56,51,73,67,65,58,52
2021-07-22,40,63,62,59,56,55,52,71,64,63,58,51
2021-07-23,39,55,52,51,50,50,50,62,54,55,52,47
2021-07-24,36,48,43,46,47,47,48,55,48,51,52,46
2021-07-25,36,57,53,54,54,54,52,64,58,61,61,52
2021-07-26,42,68,66,60,56,54,52,74,67,65,57,50
2021-07-27,43,67,64,60,57,56,53,71,65,66,60,54
2021-07-28,43,64,63,59,55,53,55,69,62,63,58,52
2021-07-29,43,61,59,56,54,53,54,67,60,61,58,51
2021-07-30,38,52,48,47,47,48,49,57,50,52,51,46
2021-07-31,36,48,43,45,48,50,50,52,47,53,54,49
2021-08-01,43,60,57,57,59,59,55,67,60,65,64,57
2021-08-02,46,69,65,61,58,55,59,75,65,65,59,52
2021-08-03,46,69,66,62,58,56,61,76,67,66,61,54
2021-08-04,44,65,62,58,56,54,57,71,63,64,60,53
2021-08-05,43,64,61,58,55,54,58,70,63,64,59,54
2021-08-06,41,53,50,50,50,52,53,59,53,56,54,51
2021-08-07,39,50,45,49,51,51,53,55,50,55,55,50
2021-08-08,42,60,57,59,60,60,59,67,60,64,61,54
2021-08-09,45,71,70,66,63,62,61,75,70,70,63,56
2021-08-10,45,71,67,64,60,58,60,73,68,68,62,57
2021-08-11,45,69,67,64,60,59,58,74,69,70,64,57
2021-08-12,45,64,62,59,57,57,57,69,64,66,62,56
2021-08-13,39,54,50,49,49,52,57,59,53,55,53,50
2021-08-14,39,49,45,49,52,56,57,56,49,56,56,51
2021-08-15,40,53,49,53,57,58,57,61,54,60,60,54
2021-08-16,42,63,62,64,64,63,61,71,65,70,67,59
2021-08-17,43,68,67,64,61,60,57,77,71,71,64,59
2021-08-18,42,67,67,63,60,59,58,75,70,71,64,59
2021-08-19,39,64,63,62,60,61,56,73,67,69,65,60
2021-08-20,35,54,52,53,54,55,51,63,56,59,57,53
2021-08-21,41,51,48,54,56,63,61,62,55,61,61,57
2021-08-22,45,57,55,58,59,59,64,70,62,65,61,55
2021-08-23,46,70,70,69,66,67,58,82,75,77,69,63
2021-08-24,41,69,69,69,66,69,56,79,73,76,70,67
2021-08-25,42,70,70,68,63,65,55,79,73,73,67,64
2021-08-26,40,65,64,63,60,60,54,76,67,67,62,57
2021-08-27,36,56,54,56,56,59,49,65,58,61,59,57
2021-08-28,38,50,46,52,55,57,56,59,52,58,59,55
2021-08-29,44,60,58,62,63,66,63,72,64,68,67,61
2021-08-30,44,72,72,71,67,66,54,83,76,76,69,63
2021-08-31,38,73,74,71,67,71,50,83,76,77,73,69
2021-09-01,39,74,76,77,72,74,51,81,78,80,75,71
2021-09-02,41,70,72,71,69,70,55,77,75,78,74,70
2021-09-03,36,58,58,60,60,64,49,65,61,65,64,62
2021-09-04,40,53,51,57,60,63,55,58,54,62,64,61
2021-09-05,46,65,65,70,72,73,63,72,68,74,74,69
2021-09-06,45,80,83,82,79,76,56,84,82,82,76,71
2021-09-07,42,78,83,84,82,83,54,84,83,86,82,78
2021-09-08,43,72,78,80,79,76,56,78,78,81,78,72
2021-09-09,38,70,77,79,77,76,53,77,77,79,76,72
2021-09-10,35,65,67,70,70,70,48,68,69,72,72,68
2021-09-11,39,57,58,64,67,66,57,62,61,69,70,64
2021-09-12,44,68,73,77,76,73,64,75,77,81,79,69
2021-09-13,43,87,100,94,88,81,56,96,100,96,85,75
2021-09-14,42,85,91,86,81,76,52,90,93,88,81,73
2021-09-15,40,71,71,67,65,63,53,74,71,70,67,60
2021-09-16,37,57,55,53,56,56,49,61,53,57,58,52
2021-09-17,33,47,44,45,48,50,43,50,42,46,49,44
2021-09-18,34,41,37,40,44,46,49,43,37,42,44,39
2021-09-19,35,39,36,39,43,45,51,42,36,40,41,35
2021-09-20,33,39,36,38,42,42,47,42,34,36,35,31
2021-09-21,36,43,38,42,49,51,51,46,38,42,41,38
2021-09-22,40,54,51,53,56,58,55,57,51,57,57,51
2021-09-23,40,66,66,64,64,62,53,68,63,67,62,56
2021-09-24,35,57,54,55,56,57,51,60,54,59,57,53
2021-09-25,39,51,46,51,54,57,54,54,49,56,57,53
2021-09-26,47,61,56,61,61,62,64,64,59,65,64,57
2021-09-27,44,76,71,67,62,64,56,77,70,72,65,59
2021-09-28,42,71,66,64,61,62,55,71,66,69,64,59
2021-09-29,43,71,66,64,62,63,58,71,66,69,64,59
2021-09-30,40,64,58,58,56,56,53,66,60,63,59,55
2021-10-01,37,58,51,51,52,54,50,58,52,56,56,53
2021-10-02,38,49,42,47,51,55,54,51,45,52,54,51
2021-10-03,42,53,48,51,57,60,61,56,50,57,59,54
2021-10-04,49,67,63,65,66,67,60,69,64,70,68,61
2021-10-05,44,73,68,67,64,64,54,74,70,72,65,60
2021-10-06,40,70,66,64,62,65,51,71,67,70,66,62
2021-10-07,38,63,59,58,58,61,53,67,62,66,63,59
2021-10-08,34,52,47,49,51,57,49,56,50,55,56,55
2021-10-09,37,46,40,44,48,51,53,49,43,50,52,47
2021-10-10,41,54,47,53,57,61,60,56,50,58,60,55
2021-10-11,46,66,62,66,67,70,61,68,63,69,67,61
2021-10-12,39,72,68,67,66,68,54,73,68,71,66,62
2021-10-13,40,69,65,65,62,62,53,70,66,69,64,59
2021-10-14,38,64,61,62,61,62,52,67,63,66,63,58
2021-10-15,34,54,50,52,52,56,49,58,53,57,57,55
2021-10-16,36,47,43,49,52,57,53,50,47,54,55,53
2021-10-17,44,57,54,59,60,62,61,60,56,62,60,55
2021-10-18,42,68,65,63,61,61,51,68,65,66,61,56
2021-10-19,40,66,65,64,61,64,49,66,65,68,64,59
2021-10-20,40,64,63,62,59,62,52,64,63,65,62,59
2021-10-21,37,60,59,59,59,62,54,62,61,65,63,61
2021-10-22,32,52,50,52,54,60,49,56,54,57,57,56
2021-10-23,36,47,42,48,52,60,55,49,47,53,55,54
2021-10-24,44,55,53,59,61,64,67,61,57,64,64,60
2021-10-25,42,67,66,66,65,65,61,73,70,72,66,62
2021-10-26,41,65,65,66,64,68,59,69,67,71,68,66
2021-10-27,41,65,62,63,62,65,59,68,64,68,66,62
2021-10-28,41,62,58,61,63,64,57,65,60,66,67,64
2021-10-29,37,52,50,53,56,62,55,56,51,57,59,59
2021-10-30,37,46,42,49,55,60,62,50,46,54,59,57
2021-10-31,47,57,54,60,64,69,68,63,58,64,66,63
2021-11-01,47,73,71,71,71,74,69,80,73,75,72,69
2021-11-02,44,69,67,68,68,72,68,78,69,72,72,69
2021-11-03,43,67,66,66,66,68,68,75,67,70,68,67
2021-11-04,45,63,63,64,65,69,67,72,66,70,71,69
2021-11-05,40,53,51,53,54,59,64,62,54,58,60,60
2021-11-06,41,47,43,49,54,59,76,54,47,54,58,56
2021-11-07,53,59,55,60,65,67,91,68,59,66,67,63
2021-11-08,55,77,73,72,74,79,86,85,75,78,76,74
2021-11-09,54,73,69,67,70,75,79,80,71,74,74,74
2021-11-10,58,71,65,64,65,69,81,74,65,69,69,68
2021-11-11,55,65,59,61,63,67,72,68,61,65,67,66
2021-11-12,37,50,47,49,52,58,57,54,49,53,55,55
2021-11-13,36,43,39,43,47,52,55,46,41,46,49,48
2021-11-14,39,51,49,51,54,58,63,56,50,53,54,52
2021-11-15,39,66,62,59,58,61,62,70,62,59,58,57
2021-11-16,38,62,59,56,56,60,56,66,59,57,56,57
2021-11-17,34,58,57,53,53,56,50,63,57,54,53,53
2021-11-18,30,54,54,53,53,57,46,60,55,53,53,55
2021-11-19,35,49,49,52,55,62,52,54,51,54,56,58
2021-11-20,35,43,42,48,54,62,52,48,45,51,56,58
2021-11-21,43,55,54,59,63,68,61,61,57,63,65,62
2021-11-22,42,69,67,65,65,70,56,73,67,68,66,64
2021-11-23,41,65,64,65,64,71,55,70,65,67,67,65
2021-11-24,37,63,62,63,63,66,52,67,63,65,65,63
2021-11-25,40,59,59,61,62,68,54,63,60,63,65,63
2021-11-26,34,50,48,51,54,60,52,54,50,54,55,56
2021-11-27,38,43,41,47,51,58,59,48,44,50,53,53
2021-11-28,44,54,52,58,61,66,67,59,55,60,62,59
2021-11-29,41,67,65,65,66,68,58,71,66,68,66,63
2021-11-30,41,68,68,68,68,74,59,73,69,72,70,69
2021-12-01,43,68,68,68,67,71,62,74,70,71,68,66
2021-12-02,42,63,64,65,64,68,64,70,65,67,65,66
2021-12-03,40,53,52,55,56,61,62,59,54,57,59,59
2021-12-04,41,47,45,52,57,65,67,53,49,56,58,58
2021-12-05,49,58,58,63,66,71,75,65,61,66,66,62
2021-12-06,46,71,70,69,68,72,65,76,71,71,68,67
2021-12-07,43,68,68,68,67,71,59,74,70,71,68,66
2021-12-08,44,67,68,68,67,71,62,72,70,71,69,66
2021-12-09,42,64,65,66,65,69,62,70,66,69,68,66
2021-12-10,40,55,54,55,57,63,59,59,55,58,59,60
2021-12-11,42,50,47,54,57,65,67,55,52,59,61,61
2021-12-12,48,61,59,65,67,73,78,67,64,70,69,66
2021-12-13,46,74,73,71,70,75,69,79,75,76,71,70
2021-12-14,44,71,71,70,67,73,65,77,74,75,71,69
2021-12-15,41,67,69,68,67,71,67,74,73,73,69,68
2021-12-16,42,64,65,67,67,72,66,71,69,71,68,67
2021-12-17,38,54,53,56,57,63,60,61,58,60,58,59
2021-12-18,42,50,50,56,60,69,70,57,55,62,62,63
2021-12-19,49,65,66,71,70,77,79,72,70,75,71,68
2021-12-20,46,77,79,75,70,73,73,85,81,79,70,68
2021-12-21,42,71,72,69,65,68,63,76,73,71,64,63
2021-12-22,42,70,71,70,67,68,62,73,70,70,65,63
2021-12-23,45,64,65,66,66,70,62,66,64,67,66,67
2021-12-24,37,49,47,49,52,58,47,48,45,49,52,53
2021-12-25,36,45,45,52,57,65,51,43,44,51,56,55
2021-12-26,44,57,59,66,68,74,64,59,61,66,66,62
2021-12-27,43,71,73,72,70,72,62,73,73,74,69,67
2021-12-28,44,71,71,72,69,72,60,73,72,73,68,67
2021-12-29,43,68,68,69,68,70,60,69,69,71,68,67
2021-12-30,44,61,60,62,61,65,58,62,60,63,62,62
2021-12-31,37,47,47,50,51,55,47,47,45,49,49,50
2022-01-01,34,44,50,61,66,71,47,45,49,59,62,62
2022-01-02,38,55,64,73,76,82,54,58,63,73,75,76
2022-01-03,38,66,76,80,78,83,52,67,73,79,79,82
2022-01-04,37,66,76,80,80,87,51,69,73,79,81,84
2022-01-05,39,64,74,79,79,85,52,68,72,79,81,83
2022-01-06,38,60,69,75,76,79,53,66,69,76,79,80
2022-01-07,37,53,60,68,73,82,53,57,60,69,75,78
2022-01-08,36,48,53,67,75,84,53,52,55,69,77,81
2022-01-09,40,56,67,79,84,92,57,62,67,80,86,87
2022-01-10,41,70,80,86,86,92,58,73,78,85,86,88
2022-01-11,43,69,80,87,88,94,62,73,79,88,90,92
2022-01-12,40,65,77,86,88,95,59,71,77,87,91,94
2022-01-13,42,62,74,82,86,97,58,68,74,85,90,96
2022-01-14,38,53,61,69,75,84,54,59,62,72,80,85
2022-01-15,37,50,55,67,75,83,55,54,57,71,80,83
2022-01-16,40,59,68,80,88,92,60,65,70,82,89,88
2022-01-17,43,70,84,91,91,94,61,76,84,92,91,91
2022-01-18,43,68,82,90,92,97,61,74,82,91,92,94
2022-01-19,41,66,81,90,93,99,61,73,81,92,95,99
2022-01-20,43,64,79,89,94,99,61,71,80,91,96,100
2022-01-21,37,57,68,78,84,89,56,63,69,81,88,91
2022-01-22,40,52,60,75,86,92,59,58,64,80,90,93
2022-01-23,42,61,77,89,95,96,60,69,79,91,96,94
2022-01-24,46,73,94,100,100,100,64,84,94,100,100,99
2022-01-25,43,70,85,88,90,93,63,79,85,92,94,93
2022-01-26,43,61,69,71,75,81,61,69,69,75,79,79
2022-01-27,39,51,54,57,62,69,60,58,54,61,68,69
2022-01-28,35,43,44,49,55,62,54,49,44,51,58,59
2022-01-29,31,40,42,49,58,65,53,47,42,50,58,57
2022-01-30,33,40,41,48,55,61,54,48,42,48,52,50
2022-01-31,34,39,41,48,54,57,57,49,42,45,47,45
2022-02-01,37,44,45,52,59,65,64,58,48,52,54,54
2022-02-02,39,55,57,64,69,77,67,65,62,69,73,73
2022-02-03,43,63,71,76,76,77,70,75,72,78,77,75
2022-02-04,41,56,61,67,71,75,69,68,64,72,74,74
2022-02-05,42,52,54,66,72,80,72,65,60,73,80,80
2022-02-06,45,59,67,77,79,85,78,78,73,82,85,81
2022-02-07,44,69,78,80,80,85,74,86,81,85,84,86
2022-02-08,43,65,73,76,75,79,72,83,78,81,79,78
2022-02-09,43,63,71,75,74,77,74,79,74,79,78,77
2022-02-10,44,61,66,70,70,74,73,72,69,75,75,76
2022-02-11,40,53,55,62,63,67,69,61,58,66,69,69
2022-02-12,39,47,48,59,64,71,69,55,53,65,70,71
2022-02-13,44,56,60,69,72,75,76,65,63,74,78,75
2022-02-14,52,66,72,75,74,77,78,73,71,77,76,73
2022-02-15,47,62,68,72,72,75,71,67,67,74,74,72
2022-02-16,43,59,66,71,72,77,65,64,64,73,75,76
2022-02-17,42,56,63,69,69,72,63,60,60,69,71,73
2022-02-18,42,50,53,60,62,66,61,53,52,61,65,66
2022-02-19,38,46,48,58,64,71,63,51,50,62,68,70
2022-02-20,42,55,61,73,78,86,65,62,63,74,78,77
2022-02-21,45,64,72,77,76,79,67,68,69,77,78,77
2022-02-22,45,63,70,74,74,79,66,66,67,76,77,76
2022-02-23,46,65,73,77,78,81,64,66,67,78,81,80
2022-02-24,47,61,67,69,71,76,64,64,62,70,74,75
2022-02-25,37,52,54,59,62,69,61,56,53,61,67,68
2022-02-26,39,50,51,58,63,70,61,55,53,62,68,70
2022-02-27,40,57,58,65,68,73,61,61,58,67,71,69
2022-02-28,43,59,62,64,64,68,58,61,58,64,67,66
2022-03-01,43,67,72,78,79,79,55,71,69,76,81,80
2022-03-02,37,72,77,73,72,72,41,72,67,68,73,70
2022-03-03,39,71,77,70,68,67,45,72,65,67,69,67
2022-03-04,43,65,67,63,64,66,51,65,59,64,67,66
