날짜,여가_생활편의_남자_10,여가_생활편의_남자_20,여가_생활편의_남자_30,여가_생활편의_남자_40,여가_생활편의_남자_50,여가_생활편의_남자_60,여가_생활편의_여자_10,여가_생활편의_여자_20,여가_생활편의_여자_30,여가_생활편의_여자_40,여가_생활편의_여자_50,여가_생활편의_여자_60
2021-07-09,45,55,52,41,36,30,30,53,46,37,32,33
2021-07-10,48,60,53,43,38,32,36,54,48,40,35,34
2021-07-11,47,61,58,46,40,34,37,60,51,42,35,33
2021-07-12,38,58,60,48,42,34,33,60,54,43,33,33
2021-07-13,39,58,59,47,43,35,32,60,53,43,35,34
2021-07-14,38,59,58,47,42,36,33,59,51,42,33,32
2021-07-15,40,58,56,46,41,34,33,57,50,42,34,33
2021-07-16,44,55,54,46,43,33,34,53,49,42,33,35
2021-07-17,46,58,56,48,42,33,40,55,51,46,37,35
2021-07-18,48,61,60,52,45,37,40,61,56,50,39,35
2021-07-19,46,59,63,55,48,38,39,62,58,50,35,36
2021-07-20,42,57,59,52,43,35,38,58,56,49,34,36
2021-07-21,42,57,58,50,42,33,39,56,54,47,36,33
2021-07-22,47,55,57,50,43,35,43,56,53,48,36,33
2021-07-23,63,55,56,50,43,34,40,52,51,48,35,34
2021-07-24,49,56,55,48,41,32,41,53,50,48,38,35
2021-07-25,47,55,58,49,41,31,40,57,54,52,39,35
2021-07-26,49,58,62,56,45,33,42,59,58,52,35,34
2021-07-27,45,57,61,56,46,36,42,58,59,54,38,35
2021-07-28,51,58,60,55,44,34,43,57,57,55,39,36
2021-07-29,51,57,61,55,47,37,44,56,59,57,40,36
2021-07-30,52,55,59,53,46,35,44,53,55,52,38,36
2021-07-31,48,59,63,57,49,35,44,56,57,58,46,39
2021-08-01,58,73,72,61,48,41,49,67,64,59,44,41
2021-08-02,57,66,74,64,50,39,49,65,66,59,44,39
2021-08-03,52,62,70,62,51,39,46,63,65,59,43,38
2021-08-04,48,61,64,57,47,36,46,59,61,57,43,41
2021-08-05,49,59,64,57,47,38,44,59,61,55,41,40
2021-08-06,50,55,58,52,43,36,42,53,56,51,39,37
2021-08-07,51,60,60,54,44,36,45,55,57,53,40,37
2021-08-08,49,61,61,53,44,37,43,59,57,53,40,40
2021-08-09,51,61,67,58,49,41,41,61,62,55,39,39
2021-08-10,52,61,64,55,47,37,41,58,59,53,37,38
2021-08-11,51,58,59,51,41,35,39,56,56,48,36,36
2021-08-12,54,56,56,50,40,36,38,54,54,47,35,36
2021-08-13,53,55,55,51,43,34,35,53,52,47,35,33
2021-08-14,50,60,62,56,45,37,40,56,57,52,40,39
2021-08-15,45,59,61,52,41,35,39,58,56,49,37,39
2021-08-16,47,57,58,48,38,35,33,57,54,45,35,37
2021-08-17,39,52,55,43,35,33,26,53,51,39,30,32
2021-08-18,36,52,53,43,35,33,27,52,51,39,30,34
2021-08-19,35,49,51,41,35,34,27,51,48,37,30,32
2021-08-20,35,49,49,38,33,32,26,48,46,34,29,30
2021-08-21,45,53,51,40,32,33,29,48,45,35,31,31
2021-08-22,37,50,51,39,33,33,28,51,48,35,31,33
2021-08-23,31,48,50,36,31,32,23,49,47,32,28,31
2021-08-24,29,45,47,36,31,31,21,47,45,31,28,30
2021-08-25,34,46,48,35,32,30,23,48,45,31,28,33
2021-08-26,32,48,49,36,31,32,23,48,45,32,28,32
2021-08-27,34,48,47,37,32,30,26,46,44,32,28,31
2021-08-28,40,52,51,40,33,31,28,47,47,36,32,34
2021-08-29,41,50,51,38,32,31,30,49,47,34,31,34
2021-08-30,34,49,54,39,34,33,26,50,48,33,29,33
2021-08-31,30,51,54,39,35,35,24,49,47,33,31,37
2021-09-01,37,60,58,40,36,37,26,52,48,34,33,39
2021-09-02,32,50,52,39,35,35,27,50,47,35,31,37
2021-09-03,34,51,53,42,37,37,28,50,48,36,33,38
2021-09-04,41,53,55,43,36,38,30,50,50,40,35,42
2021-09-05,40,52,56,42,36,39,30,51,51,38,36,41
2021-09-06,31,48,56,41,39,40,26,49,50,34,32,39
2021-09-07,28,48,51,39,38,37,25,47,48,33,33,40
2021-09-08,30,46,50,39,35,37,24,46,46,33,34,36
2021-09-09,34,48,51,40,37,36,25,46,46,34,32,39
2021-09-10,35,48,51,39,35,39,23,43,45,33,32,37
2021-09-11,43,51,51,39,34,35,28,45,46,35,34,35
2021-09-12,40,48,51,40,34,35,30,47,48,36,32,35
2021-09-13,32,47,53,40,36,35,22,46,47,34,32,34
2021-09-14,32,46,51,39,36,36,22,45,45,33,30,33
2021-09-15,32,47,49,37,34,32,23,43,43,33,31,35
2021-09-16,35,49,49,38,36,31,23,43,43,32,31,34
2021-09-17,37,47,47,39,35,35,27,42,41,34,30,34
2021-09-18,47,49,49,41,36,35,32,44,44,37,33,33
2021-09-19,46,47,49,41,37,36,32,44,46,37,32,33
2021-09-20,48,46,45,38,35,34,33,42,40,32,28,29
2021-09-21,57,46,47,38,37,45,36,44,42,33,31,39
2021-09-22,59,52,56,47,44,48,36,49,52,43,41,50
2021-09-23,43,52,62,50,44,49,31,53,58,44,38,49
2021-09-24,47,52,58,48,43,46,28,50,56,42,39,46
2021-09-25,48,50,53,43,39,46,31,48,50,40,38,45
2021-09-26,45,50,55,44,39,43,31,49,54,41,38,44
2021-09-27,41,51,60,46,44,47,30,54,57,42,39,44
2021-09-28,33,49,56,45,43,45,29,50,53,41,38,47
2021-09-29,32,48,54,46,45,53,28,49,53,41,42,52
2021-09-30,37,52,57,47,45,49,31,51,55,44,42,51
2021-10-01,45,58,62,52,48,53,36,56,59,49,45,54
2021-10-02,51,57,65,57,50,56,42,56,63,54,49,56
2021-10-03,46,59,64,57,49,52,42,59,66,56,50,55
2021-10-04,42,56,68,56,53,60,40,60,65,55,54,64
2021-10-05,37,54,67,55,52,58,35,59,64,51,49,59
2021-10-06,34,52,63,53,55,59,33,55,62,52,53,63
2021-10-07,39,51,61,53,52,58,36,55,62,52,49,57
2021-10-08,50,52,60,55,52,59,41,53,61,53,48,56
2021-10-09,55,56,63,60,53,55,47,56,64,60,56,57
2021-10-10,50,57,66,57,53,56,50,59,66,55,53,57
2021-10-11,43,54,62,52,51,57,40,57,61,49,51,57
2021-10-12,32,50,60,49,49,56,35,54,58,45,47,53
2021-10-13,37,50,59,49,49,53,36,52,56,44,47,55
2021-10-14,33,49,57,49,50,54,36,51,57,45,46,51
