날짜,여성_60대_이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대_이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2021-07-09,49,50,43,40,33,22,43,38,32,32,37,26
2021-07-10,55,62,53,46,38,30,47,44,39,37,39,34
2021-07-11,59,67,60,56,48,36,54,51,48,48,47,41
2021-07-12,53,54,51,51,45,29,50,45,42,46,49,36
2021-07-13,56,58,54,53,44,26,53,46,43,47,50,34
2021-07-14,55,59,54,51,42,26,50,46,43,45,47,33
2021-07-15,56,59,51,49,40,25,51,45,40,42,45,32
2021-07-16,53,55,46,42,35,25,49,41,35,35,38,31
2021-07-17,56,65,55,47,38,29,49,45,40,38,39,35
2021-07-18,57,68,59,54,46,34,53,51,49,50,47,39
2021-07-19,51,53,48,48,41,30,45,40,39,43,46,36
2021-07-20,51,52,49,48,41,29,47,40,39,43,45,36
2021-07-21,51,54,50,48,41,29,47,42,39,42,44,36
2021-07-22,54,57,49,47,39,29,46,41,37,39,41,34
2021-07-23,50,53,44,40,34,26,43,37,32,33,37,32
2021-07-24,53,60,49,43,36,29,44,41,35,35,37,33
2021-07-25,55,63,53,49,43,31,45,45,41,44,44,35
2021-07-26,45,47,42,44,39,27,41,35,32,39,44,33
2021-07-27,46,49,44,44,38,27,39,35,34,39,43,35
2021-07-28,46,50,43,42,37,28,40,36,32,36,41,33
2021-07-29,47,50,42,40,35,26,40,34,30,34,37,32
2021-07-30,41,44,37,34,30,25,36,30,26,29,34,30
2021-07-31,47,53,42,37,33,26,37,34,30,31,35,29
2021-08-01,47,52,45,43,40,30,38,38,35,39,44,35
2021-08-02,41,43,37,38,37,29,35,31,29,36,43,36
2021-08-03,41,44,38,39,37,31,35,32,29,35,41,35
2021-08-04,43,45,39,38,36,30,35,32,29,34,41,35
2021-08-05,43,45,38,37,35,30,35,30,28,32,39,34
2021-08-06,42,43,36,33,32,27,32,28,25,28,35,32
2021-08-07,42,48,39,36,33,29,33,30,28,31,35,33
2021-08-08,44,50,42,42,41,32,36,34,33,37,42,35
2021-08-09,38,38,34,37,37,32,32,27,26,33,41,37
2021-08-10,36,38,35,36,37,33,30,27,26,33,42,35
2021-08-11,38,38,35,36,36,33,31,26,25,31,42,38
2021-08-12,37,37,33,33,33,33,29,26,24,29,38,36
2021-08-13,35,36,31,29,30,32,29,24,22,25,34,33
2021-08-14,38,42,36,32,32,34,31,28,25,28,35,35
2021-08-15,38,43,38,36,37,39,30,30,27,32,38,38
2021-08-16,37,41,38,39,40,41,30,29,29,35,42,39
2021-08-17,34,35,33,36,39,38,27,25,25,32,41,38
2021-08-18,35,37,34,37,38,38,29,26,25,32,41,35
2021-08-19,35,37,34,36,37,37,29,26,25,31,39,35
2021-08-20,35,36,32,32,33,35,29,25,23,26,34,33
2021-08-21,41,46,42,39,38,49,34,32,30,31,38,41
2021-08-22,38,45,42,44,45,58,34,33,33,39,45,46
2021-08-23,39,41,39,43,46,51,34,31,30,37,47,46
2021-08-24,40,40,39,42,44,47,34,30,30,36,46,42
2021-08-25,40,41,40,43,44,48,33,30,30,35,46,45
2021-08-26,38,40,38,40,42,44,31,28,28,34,45,40
2021-08-27,40,42,39,39,39,43,32,30,29,32,43,39
2021-08-28,41,47,44,42,41,59,33,32,32,34,45,46
2021-08-29,44,52,50,52,52,71,39,37,38,43,53,58
2021-08-30,39,40,40,46,48,53,33,31,32,39,52,48
2021-08-31,44,45,44,48,49,48,38,34,35,41,54,47
2021-09-01,44,45,46,48,49,55,40,35,36,42,56,53
2021-09-02,44,46,46,47,46,56,36,34,34,40,51,52
2021-09-03,41,45,43,43,42,53,35,33,33,37,47,49
2021-09-04,45,54,52,49,46,63,39,39,38,41,49,54
2021-09-05,49,58,59,59,57,78,41,43,47,52,59,69
2021-09-06,43,47,49,54,53,58,43,37,40,49,61,61
2021-09-07,46,50,52,54,52,55,44,40,42,49,61,58
2021-09-08,43,47,48,50,47,51,39,36,38,45,57,55
2021-09-09,43,47,47,48,46,47,41,36,38,44,53,50
2021-09-10,40,44,44,43,42,43,38,33,34,39,49,45
2021-09-11,42,52,52,49,46,64,38,39,40,43,51,57
2021-09-12,45,57,59,61,57,73,42,45,49,55,60,69
2021-09-13,39,44,48,54,52,50,40,36,40,49,59,54
2021-09-14,41,46,49,52,48,43,38,35,39,46,55,49
2021-09-15,38,43,44,45,42,40,36,32,34,40,50,48
2021-09-16,38,43,41,40,38,39,33,33,32,37,45,42
2021-09-17,37,41,39,36,35,38,35,31,31,33,41,42
2021-09-18,37,46,46,41,40,51,35,36,36,37,43,53
2021-09-19,34,45,45,44,44,59,38,39,38,40,44,58
2021-09-20,31,38,40,43,45,61,34,35,37,39,45,62
2021-09-21,38,42,42,44,48,66,37,36,37,39,49,71
2021-09-22,51,58,58,60,59,74,45,46,50,54,60,80
2021-09-23,49,53,54,56,56,56,44,43,45,52,63,66
2021-09-24,48,52,52,52,49,50,43,41,43,46,57,54
2021-09-25,56,65,65,61,55,61,50,51,52,52,58,63
2021-09-26,59,70,72,71,65,70,54,56,60,64,67,70
2021-09-27,51,55,58,64,62,53,48,46,48,57,68,59
2021-09-28,53,56,57,61,56,47,50,45,48,54,63,55
2021-09-29,53,57,56,58,52,48,51,45,46,52,60,54
2021-09-30,50,53,52,53,48,45,44,42,41,46,56,51
2021-10-01,50,53,49,48,45,44,46,40,39,42,53,47
2021-10-02,53,64,59,54,49,55,49,48,46,46,52,56
2021-10-03,58,68,63,61,55,57,53,53,51,54,57,61
