날짜,여성_60대_이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대_이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2021-07-09,36,36,37,40,50,38,55,49,44,47,59,36
2021-07-10,41,44,44,45,56,52,59,58,52,53,62,45
2021-07-11,41,47,49,53,66,59,64,64,61,63,72,53
2021-07-12,35,35,39,47,61,48,57,52,50,58,69,47
2021-07-13,36,37,40,46,59,43,57,54,50,57,68,41
2021-07-14,37,37,40,46,59,43,55,52,48,54,65,40
2021-07-15,36,36,38,44,59,44,58,50,48,53,63,37
2021-07-16,35,36,36,41,54,42,55,48,44,48,56,37
2021-07-17,41,43,43,47,59,51,62,54,51,53,60,40
2021-07-18,39,44,47,54,69,57,65,63,60,64,69,47
2021-07-19,36,36,39,47,61,48,58,51,50,58,67,42
2021-07-20,36,35,39,46,58,48,56,49,49,56,65,41
2021-07-21,36,36,39,47,61,49,57,49,47,54,63,41
2021-07-22,36,36,39,46,59,48,55,49,46,52,60,41
2021-07-23,33,34,35,39,52,45,54,46,42,46,54,37
2021-07-24,38,40,39,42,54,47,58,51,45,49,57,37
2021-07-25,37,41,42,47,61,50,57,55,52,57,64,41
2021-07-26,32,33,35,43,57,44,52,47,43,52,62,38
2021-07-27,35,36,38,44,56,44,54,47,44,53,61,38
2021-07-28,34,34,36,41,53,46,50,47,43,50,58,37
2021-07-29,32,33,34,38,49,44,47,44,41,47,54,37
2021-07-30,30,32,31,34,44,41,45,42,37,42,50,34
2021-07-31,34,37,36,37,47,45,49,47,43,45,54,36
2021-08-01,34,37,38,43,58,52,53,52,49,56,66,43
2021-08-02,32,31,32,38,54,51,47,46,43,52,64,43
2021-08-03,31,33,34,39,52,50,50,47,44,52,62,42
2021-08-04,32,34,35,39,51,49,48,45,42,49,59,41
2021-08-05,32,33,33,38,50,49,47,45,42,48,58,39
2021-08-06,31,31,31,34,45,46,45,42,38,42,53,38
2021-08-07,34,36,36,38,49,48,51,49,44,46,54,39
2021-08-08,34,38,38,43,56,52,54,54,51,55,63,43
2021-08-09,30,29,32,37,52,51,50,44,42,51,61,43
2021-08-10,30,30,32,37,51,50,45,44,42,49,62,43
2021-08-11,30,31,32,36,50,51,47,44,42,47,60,43
2021-08-12,30,31,32,35,48,50,47,43,39,44,56,41
2021-08-13,29,29,29,31,43,48,43,40,36,39,50,39
2021-08-14,32,34,34,35,45,50,48,47,41,42,52,39
2021-08-15,31,35,36,38,50,54,47,48,43,47,56,42
2021-08-16,31,35,36,40,54,54,49,50,47,52,60,43
2021-08-17,30,31,32,37,51,48,45,43,40,47,58,42
2021-08-18,30,32,33,37,50,46,46,43,40,46,56,40
2021-08-19,29,31,33,36,48,43,46,44,39,44,54,37
2021-08-20,28,30,31,33,44,41,44,41,36,40,49,34
2021-08-21,33,37,37,38,50,52,53,50,45,45,53,40
2021-08-22,33,38,40,44,58,61,52,51,49,51,60,46
2021-08-23,32,33,36,41,55,48,52,50,45,50,61,42
2021-08-24,32,33,36,40,53,44,51,48,45,49,59,40
2021-08-25,32,33,35,39,52,44,50,47,43,48,59,38
2021-08-26,30,32,34,38,53,42,49,46,41,46,59,37
2021-08-27,32,33,34,36,49,40,49,45,39,43,55,34
2021-08-28,34,37,38,39,51,52,52,48,43,45,55,40
2021-08-29,36,40,43,46,60,61,55,54,51,53,63,48
2021-08-30,31,32,36,41,56,47,50,46,43,50,62,42
2021-08-31,34,35,37,42,55,41,51,48,44,49,62,37
2021-09-01,34,34,38,42,56,47,54,49,45,51,64,42
2021-09-02,34,34,37,41,52,47,51,46,42,48,59,43
2021-09-03,32,33,35,37,48,44,47,44,39,44,56,37
2021-09-04,35,39,40,41,51,53,52,49,45,47,56,42
2021-09-05,38,42,46,49,62,63,58,55,53,56,66,52
2021-09-06,32,34,38,45,59,48,53,48,46,54,66,46
2021-09-07,33,35,39,44,56,42,50,48,46,51,63,41
2021-09-08,33,35,38,42,52,41,50,46,43,49,58,40
2021-09-09,33,35,38,41,52,39,52,46,43,48,58,39
2021-09-10,31,33,35,38,49,37,46,43,40,45,57,34
2021-09-11,34,40,42,43,54,54,49,49,47,49,60,44
2021-09-12,36,43,49,53,66,63,53,57,57,59,70,56
2021-09-13,31,34,40,47,61,45,51,47,48,55,69,43
2021-09-14,30,33,38,44,55,39,48,45,44,51,63,38
2021-09-15,30,32,35,39,50,37,44,41,40,46,57,36
2021-09-16,29,31,34,37,47,37,44,41,37,42,51,35
2021-09-17,29,30,32,34,43,37,44,39,35,38,47,32
2021-09-18,30,35,37,38,49,50,47,46,42,42,51,42
2021-09-19,29,34,38,41,54,56,47,49,44,46,53,46
2021-09-20,25,29,33,40,54,57,46,45,42,45,54,51
2021-09-21,30,33,36,42,59,67,49,45,42,45,57,61
2021-09-22,39,43,47,52,68,71,56,56,54,58,68,66
2021-09-23,38,38,44,50,64,55,53,52,49,56,67,55
2021-09-24,37,37,42,46,56,48,53,49,45,49,61,45
2021-09-25,42,45,50,52,59,57,56,55,51,52,60,49
2021-09-26,43,48,53,59,70,65,58,59,58,60,69,55
2021-09-27,36,38,44,52,65,48,55,50,48,56,67,48
2021-09-28,39,40,45,50,59,44,55,50,47,53,63,43
2021-09-29,39,40,44,49,57,44,57,50,47,51,62,42
2021-09-30,36,37,40,45,55,43,51,46,41,46,57,40
2021-10-01,38,39,40,42,53,44,52,46,40,44,58,40
2021-10-02,41,45,46,47,55,55,55,53,47,48,57,47
2021-10-03,43,49,51,54,64,61,58,58,54,55,63,51
2021-10-04,44,48,53,59,71,60,61,60,58,62,70,52
2021-10-05,39,40,43,51,62,46,56,51,47,54,65,43
2021-10-06,39,40,43,48,57,43,55,50,46,52,61,40
2021-10-07,40,40,43,47,55,44,56,49,45,49,57,39
2021-10-08,37,38,39,42,50,41,51,45,41,43,54,34
2021-10-09,39,44,44,45,53,51,54,53,46,46,54,41
2021-10-10,43,48,50,53,63,58,62,60,54,54,63,48
2021-10-11,44,48,51,58,68,57,61,59,57,62,69,49
2021-10-12,39,40,44,52,61,43,57,51,48,55,64,39
2021-10-13,38,39,43,49,56,41,53,49,46,51,60,38
2021-10-14,38,40,43,48,54,38,53,48,47,50,56,36
2021-10-15,39,38,40,42,50,39,53,47,42,44,51,33
2021-10-16,42,45,47,48,56,52,59,54,49,49,53,40
2021-10-17,44,48,52,59,70,62,65,63,58,60,63,48
2021-10-18,41,42,45,55,65,49,59,53,51,57,63,41
2021-10-19,41,42,44,52,59,44,58,53,49,54,59,37
2021-10-20,41,42,44,51,56,42,58,51,48,52,57,35
2021-10-21,42,43,45,51,56,42,59,51,46,50,54,35
2021-10-22,38,39,40,45,51,39,54,47,42,44,50,31
2021-10-23,42,45,46,48,54,50,57,53,47,47,50,38
2021-10-24,47,51,53,59,65,59,64,62,58,59,59,47
2021-10-25,40,40,44,53,61,45,59,53,49,55,59,40
2021-10-26,43,43,44,50,56,41,62,53,49,53,57,36
2021-10-27,43,43,44,48,53,41,59,52,47,51,55,36
2021-10-28,41,41,42,46,51,39,58,50,44,48,52,34
2021-10-29,40,40,39,42,46,36,57,48,42,44,48,33
2021-10-30,45,48,46,47,50,48,60,55,48,47,50,39
2021-10-31,45,49,51,55,60,56,67,62,56,57,59,47
2021-11-01,46,43,45,52,59,47,64,55,51,56,63,43
2021-11-02,44,43,45,51,56,44,62,53,49,53,58,39
2021-11-03,42,42,44,50,55,45,58,52,47,51,54,38
2021-11-04,43,44,46,50,53,43,59,52,46,50,53,37
2021-11-05,40,39,40,44,47,43,53,47,40,42,47,34
2021-11-06,45,47,47,47,50,53,61,54,47,46,49,42
