날짜,여성_60대_이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대_이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2021-07-09,11,10,10,13,18,15,12,9,7,9,11,4
2021-07-10,12,12,11,14,19,21,13,10,7,9,11,4
2021-07-11,13,13,14,17,23,25,14,11,8,12,14,5
2021-07-12,12,12,13,17,23,20,14,10,9,12,15,5
2021-07-13,14,13,13,17,23,19,14,11,8,12,14,5
2021-07-14,12,12,12,16,22,19,14,10,8,12,14,4
2021-07-15,13,12,12,16,21,19,13,10,8,11,13,4
2021-07-16,12,11,11,14,19,19,13,9,7,10,11,4
2021-07-17,12,12,12,14,19,21,13,10,7,10,11,5
2021-07-18,13,13,13,17,23,24,15,11,9,12,14,5
2021-07-19,13,12,13,17,23,22,15,11,9,13,14,5
2021-07-20,13,12,13,17,22,22,15,10,9,13,14,5
2021-07-21,13,12,13,17,22,22,15,11,8,12,14,5
2021-07-22,13,12,12,16,21,21,14,10,8,11,13,5
2021-07-23,11,11,11,14,19,20,13,9,7,10,11,5
2021-07-24,13,13,12,14,19,21,13,9,7,9,11,5
2021-07-25,14,14,13,17,22,23,14,11,8,11,13,5
2021-07-26,12,12,12,16,22,21,14,10,8,12,14,5
2021-07-27,13,12,12,16,21,21,13,10,8,11,13,5
2021-07-28,12,12,12,15,20,21,13,10,8,11,13,5
2021-07-29,12,12,11,15,20,21,14,10,7,10,12,5
2021-07-30,11,11,10,13,18,20,12,9,6,9,11,5
2021-07-31,13,12,12,14,18,20,13,10,7,9,11,4
2021-08-01,14,14,14,18,24,25,15,12,9,12,14,5
2021-08-02,15,13,13,17,23,25,17,13,9,13,14,6
2021-08-03,14,13,13,17,23,25,16,11,9,12,14,6
2021-08-04,14,13,13,16,22,25,15,11,9,11,13,5
2021-08-05,14,13,12,16,21,24,15,11,8,11,13,5
2021-08-06,13,12,12,14,19,23,14,10,7,10,11,5
2021-08-07,15,14,13,15,19,23,15,11,8,9,11,5
2021-08-08,15,14,14,17,23,25,17,12,9,12,14,5
2021-08-09,14,13,13,17,23,26,17,12,9,12,14,6
2021-08-10,14,13,13,17,23,24,15,11,9,12,15,6
2021-08-11,15,13,14,17,23,25,15,11,9,12,14,6
2021-08-12,14,13,13,16,22,24,15,10,8,11,13,5
2021-08-13,12,12,11,14,19,23,13,9,7,9,11,5
2021-08-14,13,13,12,14,19,23,13,10,7,9,11,5
2021-08-15,14,14,13,15,21,25,15,11,8,9,12,6
2021-08-16,16,16,15,18,24,27,19,14,9,12,14,6
2021-08-17,14,13,14,17,24,23,16,12,9,12,14,5
2021-08-18,14,14,13,17,23,21,16,11,8,11,13,5
2021-08-19,14,13,13,16,22,21,15,11,8,11,12,5
2021-08-20,14,12,12,15,20,19,15,10,7,9,11,4
2021-08-21,13,13,12,15,20,23,14,10,7,9,11,5
2021-08-22,15,14,14,17,23,27,15,11,8,11,13,5
2021-08-23,14,13,13,17,24,22,16,12,9,12,14,5
2021-08-24,14,13,13,16,23,19,16,11,8,11,13,4
2021-08-25,13,12,12,16,23,19,15,10,8,11,13,5
2021-08-26,13,12,12,16,23,19,15,10,7,10,13,4
2021-08-27,12,11,11,14,20,17,14,9,7,9,11,4
2021-08-28,13,13,12,14,20,22,13,9,6,8,11,5
2021-08-29,14,13,13,16,22,27,15,11,8,10,13,6
2021-08-30,13,12,12,16,23,20,14,10,8,11,14,5
2021-08-31,14,13,13,16,23,17,15,11,8,11,13,4
2021-09-01,15,13,13,17,23,19,16,11,9,12,13,5
2021-09-02,16,14,14,18,25,21,16,11,8,11,13,5
2021-09-03,14,13,12,15,21,19,14,10,7,10,12,4
2021-09-04,15,14,13,15,21,23,14,10,7,9,11,5
2021-09-05,16,16,15,18,24,27,19,14,9,11,13,6
2021-09-06,16,14,14,18,24,20,21,14,9,12,14,5
2021-09-07,15,13,13,17,23,18,16,11,8,11,13,5
2021-09-08,14,13,13,17,24,18,16,11,8,11,13,5
2021-09-09,14,13,13,16,21,17,15,11,8,10,12,4
2021-09-10,12,12,11,14,19,15,13,9,7,9,12,4
2021-09-11,12,12,12,14,18,21,12,9,7,9,11,5
2021-09-12,13,13,14,17,22,26,15,11,8,11,13,6
2021-09-13,13,13,13,17,22,18,14,11,8,12,14,5
2021-09-14,13,12,13,17,21,16,14,10,8,11,13,4
2021-09-15,13,12,12,15,20,16,13,9,7,10,12,4
2021-09-16,12,11,11,13,18,15,12,9,6,8,10,4
2021-09-17,10,10,9,11,16,15,11,8,5,7,9,4
2021-09-18,10,10,9,11,16,19,10,8,5,7,9,4
2021-09-19,9,10,10,12,17,22,11,8,5,7,9,5
2021-09-20,9,9,9,12,17,23,10,7,5,7,9,5
2021-09-21,11,10,10,13,19,25,11,8,6,8,10,6
2021-09-22,15,14,14,16,23,29,16,11,8,11,13,7
2021-09-23,15,14,14,18,24,24,17,12,9,12,15,6
2021-09-24,15,13,13,16,21,20,17,11,8,10,13,5
2021-09-25,15,14,14,16,21,24,15,10,8,9,12,5
2021-09-26,15,15,15,18,24,28,15,11,8,11,14,6
2021-09-27,15,14,14,19,25,22,16,11,9,13,15,6
2021-09-28,15,14,14,17,23,20,16,11,8,11,14,5
2021-09-29,15,13,13,16,22,19,16,11,8,11,13,5
2021-09-30,14,13,12,15,21,19,15,10,7,10,12,5
2021-10-01,13,12,12,15,21,20,13,10,7,9,12,4
2021-10-02,14,13,12,14,19,23,14,10,7,9,11,5
2021-10-03,14,14,13,15,21,26,14,11,7,10,12,6
2021-10-04,15,15,15,18,24,26,16,12,9,12,14,6
2021-10-05,14,13,13,17,23,20,15,11,8,12,14,5
2021-10-06,14,13,13,17,21,19,15,11,8,11,13,5
2021-10-07,14,13,13,16,21,18,14,10,8,10,12,5
2021-10-08,12,11,11,14,19,18,14,9,7,9,11,4
2021-10-09,12,12,11,13,18,22,13,9,6,8,11,4
2021-10-10,13,13,12,15,21,25,14,10,7,9,12,5
2021-10-11,15,15,14,18,23,26,15,11,8,11,14,6
2021-10-12,14,13,13,17,23,18,15,11,8,12,14,4
2021-10-13,14,13,13,16,21,18,15,10,8,11,13,5
2021-10-14,13,13,13,16,21,17,14,10,8,10,12,4
2021-10-15,14,12,12,15,20,17,14,9,7,9,11,4
2021-10-16,12,12,12,14,18,21,13,9,7,8,10,5
2021-10-17,14,14,13,17,22,24,15,11,8,10,13,6
2021-10-18,14,14,14,17,22,19,15,11,9,12,14,5
2021-10-19,15,14,14,17,21,17,16,12,9,12,13,5
2021-10-20,15,14,14,17,21,17,15,11,8,12,13,5
2021-10-21,15,14,13,16,20,17,16,11,8,11,12,4
2021-10-22,14,13,12,15,19,16,15,10,7,9,11,4
2021-10-23,14,14,12,14,19,20,14,10,7,9,11,5
2021-10-24,15,15,14,18,23,25,16,11,8,11,13,5
2021-10-25,15,15,15,19,25,20,17,12,9,13,15,5
2021-10-26,15,15,14,18,23,17,17,12,9,12,13,5
2021-10-27,15,14,14,17,22,17,17,11,8,11,13,4
2021-10-28,16,14,13,17,21,17,16,11,8,11,12,4
2021-10-29,15,13,12,15,19,17,15,10,7,9,11,4
2021-10-30,15,14,13,15,19,21,15,10,7,9,11,4
2021-10-31,16,16,15,18,23,25,17,12,9,11,13,6
2021-11-01,18,16,16,21,27,21,20,13,10,14,16,6
2021-11-02,17,16,15,20,24,19,18,12,9,12,14,5
2021-11-03,16,15,14,19,23,20,17,12,9,12,13,5
2021-11-04,16,15,14,18,22,19,17,12,8,11,12,4
2021-11-05,14,13,12,15,20,18,14,10,7,9,11,4
2021-11-06,14,14,13,15,20,23,14,10,7,9,10,4
2021-11-07,16,16,15,19,24,27,16,12,8,11,13,6
2021-11-08,16,15,15,19,24,22,19,12,9,12,14,5
2021-11-09,16,15,14,18,23,19,17,12,9,12,13,5
2021-11-10,16,14,14,18,23,19,17,11,8,12,14,5
2021-11-11,16,14,14,17,22,20,17,11,8,11,13,5
2021-11-12,13,12,12,15,19,20,15,10,7,9,11,4
2021-11-13,13,12,11,14,18,21,13,9,6,8,10,4
2021-11-14,14,13,12,17,22,24,15,10,7,10,13,5
2021-11-15,14,12,12,17,23,23,16,11,8,12,14,5
2021-11-16,13,12,11,16,21,21,15,10,8,11,13,5
2021-11-17,13,11,11,16,20,19,15,10,7,11,12,4
2021-11-18,13,11,11,15,19,17,14,9,7,10,11,4
2021-11-19,15,13,12,15,18,22,15,11,7,9,11,5
2021-11-20,15,14,12,14,18,22,15,10,7,9,10,5
2021-11-21,16,16,15,17,21,24,18,12,9,11,13,6
2021-11-22,17,14,14,18,22,19,18,12,9,12,14,5
2021-11-23,16,15,14,18,22,18,17,12,9,12,13,4
2021-11-24,16,15,14,17,21,17,18,12,9,11,13,4
2021-11-25,17,15,14,17,21,18,18,12,8,11,12,5
2021-11-26,16,13,13,15,19,17,16,10,7,10,11,4
2021-11-27,16,15,13,15,18,22,16,10,7,9,10,5
2021-11-28,17,16,15,18,22,26,18,13,9,11,13,6
2021-11-29,17,16,15,19,23,21,19,13,9,13,14,5
2021-11-30,18,16,15,19,22,20,18,13,9,12,14,5
2021-12-01,18,16,15,19,24,21,19,13,9,13,14,5
2021-12-02,17,16,15,20,26,22,19,13,9,12,14,5
2021-12-03,17,14,14,17,22,22,17,12,8,11,12,5
2021-12-04,18,16,15,17,22,28,18,12,8,10,11,6
2021-12-05,20,18,17,20,26,31,22,15,10,13,14,6
2021-12-06,20,17,16,21,26,24,24,16,11,14,16,6
2021-12-07,19,17,16,20,25,23,21,15,10,13,15,6
2021-12-08,20,18,17,21,27,24,22,15,10,13,15,6
2021-12-09,18,16,15,18,22,21,20,13,9,12,13,5
2021-12-10,16,14,13,15,20,20,17,12,8,10,12,5
2021-12-11,18,16,14,16,19,25,18,12,8,10,12,5
2021-12-12,19,18,16,19,23,30,20,14,10,12,14,7
2021-12-13,19,16,16,20,24,25,21,14,10,13,16,6
2021-12-14,18,16,15,19,23,22,19,13,10,13,15,5
2021-12-15,18,16,15,18,22,22,20,13,10,12,14,5
2021-12-16,18,15,14,17,21,22,19,12,9,11,13,5
2021-12-17,16,14,13,15,19,21,17,11,8,10,12,5
2021-12-18,18,16,14,15,19,25,18,12,8,10,12,5
2021-12-19,19,18,16,19,23,28,20,14,10,13,15,7
2021-12-20,18,16,15,18,22,23,19,13,10,13,16,5
2021-12-21,17,14,13,16,19,18,18,12,9,11,13,5
2021-12-22,16,15,13,16,19,20,19,12,9,12,14,5
2021-12-23,18,15,14,16,20,20,19,13,9,11,13,5
2021-12-24,15,13,11,13,16,18,16,11,7,9,12,5
2021-12-25,17,15,13,14,16,20,18,12,8,10,11,5
2021-12-26,19,18,16,18,21,26,20,14,10,12,14,6
2021-12-27,18,16,15,19,23,24,21,13,10,13,15,6
2021-12-28,18,16,15,19,23,23,20,13,10,13,15,6
2021-12-29,18,16,15,18,22,24,20,13,9,12,14,6
2021-12-30,18,16,14,17,21,24,19,13,9,11,13,5
2021-12-31,15,13,12,14,18,20,16,11,7,10,11,4
2022-01-01,20,17,15,17,19,20,20,14,10,11,11,4
2022-01-02,24,21,18,21,24,24,24,17,12,14,14,5
2022-01-03,24,19,17,21,24,20,23,16,12,15,15,5
2022-01-04,24,20,17,21,24,21,25,16,11,14,14,5
2022-01-05,23,20,17,21,23,21,24,16,11,14,14,4
2022-01-06,24,20,17,20,23,22,24,16,10,13,13,4
2022-01-07,22,18,15,17,21,21,22,14,9,11,11,4
2022-01-08,24,20,17,17,20,22,24,15,10,11,11,4
2022-01-09,26,22,19,21,24,26,26,18,12,13,13,5
2022-01-10,23,20,17,21,25,23,24,16,11,14,14,4
2022-01-11,24,20,18,21,24,23,24,17,11,14,14,4
2022-01-12,25,21,18,20,23,23,26,17,11,14,14,5
