매장이름,"위치(시,구)",주소,전화번호
종각역점,서울 종로구,서울특별시 종로구 종로 60-1 종로2가 102-3,02-736-3399
부산아트몰링영풍문고점,부산 사하구,"부산광역시 사하구 낙동남로 1413 (하단동, 아트몰링) 13층",051-201-0621
광명GIDC점,경기 광명시,"경기도 광명시 일직로 43 일직동 514 지하2층 G249, G250호",02-6914-6550
이천점,경기 이천시,경기도 이천시 어재연로 35 (창전동) 1~3층 할리스,031-635-6655
미사가로수길점,경기 하남시,"경기도 하남시 미사강변한강로 295 (망월동, 하남미사롯데캐슬헤븐시티Ⅱ) .",031-699-8674
시흥능곡점,경기 시흥시,"경기도 시흥시 능곡번영길 25 (능곡동) 능곡동 211-3 (107,108,205,206호)",070-8806-1314
송탄서정점,경기 평택시,"경기도 평택시 경기대로 1371,102호 서정동 814-1",031-611-0234
장승배기역점,서울 동작구,"서울특별시 동작구 장승배기로11가길 11, 1층 (상도동, 상도파크자이)",02-812-9330
미사효성해링턴점,경기 하남시,"경기도 하남시 아리수로 570,1~2층 망월동 미사효성해링턴타워더퍼스",070-7733-9710
이천마장점,경기 이천시,경기도 이천시 마장면 오천로 65 오천리 56-55,070-4647-0081
김해인제대점,경남 김해시,경상남도 김해시 인제로 168 (어방동) 정석빌딩101호,055-314-8589
순천성가롤로병원점,전남 순천시,"전남 순천시 순광로 221, 순천성가롤로병원 별관 2층 조례동 1742",061-905-0013
부산동의대점,부산 부산진구,"부산광역시 부산진구 엄광로 176 가야동, 동의대학교",051-893-6679
금정AK프라자점,경기 군포시,"경기도 군포시 금정동 689 AK프라자 131, 132호",031-427-8535
울산삼산로점,울산 남구,"울산광역시 남구 삼산로 283 (삼산동, 소망빌딩) 삼산동1525-8,1525-9",052-275-9004
신림사거리점,서울 관악구,서울특별시 관악구 남부순환로 1599-3 (신림동) 1층,02-877-1433
대구세천점,대구 달성군,대구광역시 달성군 다사읍 세천로 141 세천리 1581-6,053-581-5768
부산명륜자이점,부산 동래구,"부산광역시 동래구 동래로 77 (명륜동) 1,2층",051-554-1001
부천송내본점,경기 부천시,경기도 부천시 송내대로73번길 21 (상동) 1층,032-321-2007
동학사점,충남 공주시,"충남 공주시 반포면 동학사2로 133 1,2층 .",070-8836-8038
서울명지대점,서울 서대문구,서울특별시 서대문구 거북골로 41-1 (남가좌동) 1층~2층,02-304-1110
부천순천향병원점,경기 부천시 소사구,경기도 부천시 조마루로 170(중동) 본관 지하 1층 .,.
전주시네마점,전북 전주시 완산구,"전라북도 전주시 완산구 전주객사3길 67 (고사동, 전주시네마타운) 1~2층",063-232-9448
천안신부점,충남 천안시 동남구,"충청남도 천안시 동남구 만남로 26 (신부동, 대영빌딩) 4~5층",041-566-5085
목동삼성쉐르빌점,서울 강서구,"서울특별시 양천구 목동동로 189 (신정동, 삼성쉐르빌1) 1층 101,102,103호",02-2652-2030
삼성전자평택캠퍼스점,경기 평택시,경기도 평택시 삼성로 144 고덕면 여염리 1648,031-8094-9981
천안아산역사점,충남 아산시,충청남도 아산시 배방읍 희망로 100 (천안아산역) 3층 맞이방,.
분당미금점,경기 성남시 분당구,경기도 성남시 분당구 미금일로90번길 24 (구미동) B1F ~ 1F,031-713-7739
부산서구청점,부산 서구,부산광역시 서구 보수대로 9 (충무동1가 3-1) 바른빌딩 1층 104호,070-4647-1455
대구연경점,대구 북구,대구광역시 북구 동화천로 229 (연경동) 1층~2층,053-982-6877
울산율리점,울산 울주군,울산광역시 울주군 청량읍 율리영해1길 46 1층,052-221-1030
원흥역점,경기 고양시 덕양구,경기 고양시 덕양구 권율대로 690 원흥동 635번지 201동 108호~111호,031-967-0302
강남우리라운지점,서울 강남구,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 1층,02-566-1002
진해경화점,경남 창원시 진해구,경상남도 창원시 진해구 조천북로 76 (경화동) .,055-547-9906
중앙대점,서울 동작구,서울특별시 동작구 흑석로 77 (흑석동) 할리스 1~4층,02-3280-3280
고양신원점,경기 고양시 덕양구,경기도 고양시 덕양구 권율대로 896-19 .,02-381-7666
부천심곡점,경기 부천시,경기도 부천시 장말로 376  심곡동 355-1,.
제주연북로점,제주 제주시,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),070-4123-5111
군산선유도점,전북 군산시,전라북도 군산시 옥도면 선유도리 213-3 .,063-464-9314
고양삼송점,경기 고양시 덕양구,"경기도 고양시 덕양구 삼송로 222 (삼송동, 삼송역현대헤리엇) 1층 할리스",070-7643-6611
독립문역점,서울 종로구,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동  1층",010-2594-7308
익산모현점,전북 익산시,전라북도 익산시 선화로3길 16-10 1층,063-842-8420
X-220630마곡퀸즈파크나인점,서울 강서구,"서울시 강서구 공항대로 247(마곡동,퀸즈파크나인) 127호,232호 1,2층",02-6421-9888
일산문촌마을점,경기 고양시 일산서구,"경기도 고양시 일산서구 중앙로 1493 ,상가동 1층 1001-1, 1001-2",070-7797-3247
성균관대점,서울 종로구,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,02-743-8526
대전건양대병원점,대전 서구,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 신관 지하1층",042-543-3138
대전유성온천점,대전 유성구,"대전 유성구 온천로 45  1,2층",042-825-2023
스틸랜드점,경기 시흥시,"경기도 시흥시 오이도로 21 (정왕동, STEELLAND) 1층",070-8802-8041
거제휴게소점,경남 거제시,경상남도 거제시 장목면 거가대로 1068 .,055-736-2200
가덕휴게소점,부산 강서구,부산광역시 강서구 거가대로 2571 (천성동) .,051-715-2200
판교역점,경기 성남시 분당구,"경기도 성남시 분당구 판교역로192번길 12 (삼평동, 판교미래에셋센터) 1층",031-8061-0778
태릉입구역점,서울 노원구,"서울특별시 노원구 화랑로 453 (공릉동, 그린힐) 1층",02-976-0078
마산저도점,경남 창원시 마산합포구,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,055-243-1052
충북옥천점,충북 옥천군,충청북도 옥천군 옥천읍 송신길 172 ,043-731-5560
화성조암점,경기 화성시,경기도 화성시 우정읍 쌍봉로 76 103호,031-358-3567
청주성화점,충북 청주시 서원구,충청북도 청주시 서원구 신성화로 39 (성화동) 1~2층,043-233-6296
모다아울렛구리점,경기 구리시,"경기도 구리시 경춘북로 230 (갈매동, 모다아울렛) .",031-514-8194
가재울점,서울 서대문구,서울특별시 서대문구 모래내로15길 56 (남가좌동) 1층,02-304-0173
구로디지털점,서울 구로구,"서울특별시 구로구 디지털로31길 12 1층 105,106호",070-7576-4842
(상)안성맞춤휴게소점,경기 안성시,경기도 안성시 서운면 평택제천고속도로 41 (안성맞춤휴게소평택방향) .,031-673-3822
나주빛가람혁신도시점,전남 나주시,전라남도 나주시 배멧3길 5-4 (빛가람동) .,061-334-5466
