사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-22,1호선,150,서울역,646,24,8433,7694,12608,46963,39233,100397,65106,201687,54833,136594,54970,72279,65919,63975,73911,71095,75158,70182,62452,63752,83128,66858,94518,68962,144662,80449,194098,85268,97875,56132,69808,39704,76345,35471,51224,26045,20385,15480,158,1332,1,4,0,1,0,0
Jun-22,1호선,151,시청,271,7,3133,4802,3321,23621,6647,62427,8294,179710,9211,80830,10835,36788,16716,35424,19234,31199,24405,30398,30565,24936,39899,20559,46625,19624,77189,21255,144407,21622,51494,9722,44062,5873,43072,5598,29032,4091,9254,2938,72,422,0,2,0,0,0,0
Jun-22,1호선,152,종각,91,9,4007,3960,3682,22533,5814,95376,9612,235160,11847,130278,16040,56506,24526,53307,30613,46342,40174,45544,47163,37652,58871,33798,67674,35698,124639,42861,192630,47804,81385,23022,72603,10446,80861,7772,65832,5368,27781,3590,315,394,0,1,0,0,0,0
Jun-22,1호선,153,종로3가,190,12,3882,3261,3570,14038,4746,25469,8589,68699,13179,65554,19047,57537,29424,64639,41102,64686,48210,59569,56456,52854,64165,43080,67802,40060,77696,37925,94729,37948,57840,19186,48259,9725,51274,7492,42291,5558,17170,4119,310,843,3,3,0,0,0,0
Jun-22,1호선,154,종로5가,34,0,1730,3909,2986,16406,5020,41304,8550,96113,11925,60645,19836,53221,29381,57319,38879,55006,47090,49208,54140,45489,57120,37951,61010,35378,76977,32188,93526,29463,46741,15316,34020,7315,31369,5271,22016,3862,6208,2628,98,668,0,0,0,0,0,0
Jun-22,1호선,155,동대문,890,31,11300,2056,8821,7698,14163,12675,18873,22464,17325,22417,16419,22140,18122,24956,21598,23729,23154,21574,24074,20549,24029,19713,25058,18946,24206,18220,22768,18594,16566,18377,14190,12669,13069,10945,11218,9477,4350,8677,25,1595,0,0,0,0,0,0
Jun-22,1호선,156,신설동,370,19,8467,2653,8568,11348,18684,23149,26419,56781,17655,30981,15675,21083,18353,18159,19631,17674,21564,17706,20964,16602,22866,17049,29355,18672,38033,21197,52042,24959,19977,17926,13881,11722,12202,11910,8766,10182,3482,7832,232,1578,1,12,0,0,0,0
Jun-22,1호선,157,제기동,441,2,4888,2214,8551,9419,21610,19135,30791,39898,22427,33322,26035,37499,32669,41571,36385,46331,38350,46892,40338,41227,44866,34869,45388,30364,42596,25926,39498,26151,18875,17104,12088,11341,8618,10537,5458,9800,2040,6711,42,780,1,1,0,0,0,0
Jun-22,1호선,158,청량리(서울시립대입구),887,14,10765,4593,14934,22471,35371,17531,45883,35718,30613,33617,29986,37315,34624,40552,38610,40209,39647,42390,40356,42786,43355,41554,52228,38422,49382,39050,41399,45949,22624,30115,18205,18431,13636,17345,8698,15743,3165,9765,84,1613,0,0,0,0,0,0
Jun-22,1호선,159,동묘앞,170,3,2827,1104,3321,5042,6249,9730,9677,22640,8695,17690,10365,20416,15059,26326,21497,27976,27673,30678,28244,26319,29101,22416,30004,17549,28947,13338,21259,10392,10054,6945,5874,4727,4991,4533,3564,5281,1312,3604,31,2129,0,0,1,0,0,0
Jun-22,2호선,201,시청,63,1,1214,1571,1856,17603,4770,60164,7222,198143,8890,78682,12007,26246,18060,23565,19127,22525,23868,23268,28799,20262,34375,17699,39804,15282,81486,18801,156382,19257,49387,9389,37481,5394,36256,5313,24952,4681,9715,3509,1182,1268,0,27,0,0,0,0
Jun-22,2호선,202,을지로입구,63,1,2069,2594,3347,27450,8754,116114,14904,297445,16452,138972,20133,62241,28822,56664,35014,49627,46162,47135,51593,42021,62225,38631,72143,38841,133811,45378,249322,47925,97137,26139,88899,15712,63591,14655,47875,13777,19349,8727,2738,4024,2,603,0,0,0,0
Jun-22,2호선,203,을지로3가,21,2,1060,1801,2451,19193,5136,65511,10346,162157,12028,67056,13788,29616,19269,25993,21179,24132,23886,26020,27149,23413,30831,22066,37126,24633,78443,29993,128641,35725,50524,20580,37765,11487,42876,9424,40024,7892,23524,5417,2746,1446,3,46,0,0,0,0
Jun-22,2호선,204,을지로4가,9,1,892,1343,1915,13801,3939,33401,7873,74135,8224,37009,9666,22085,13662,21662,15782,19425,18232,19215,20801,17579,23532,15696,28783,14623,51371,14051,64572,14097,28093,8084,15698,4902,13550,4440,9855,4159,4643,3076,711,937,0,18,0,0,0,0
Jun-22,2호선,205,동대문역사문화공원(DDP),274,5,5189,1212,4043,8297,6169,22270,10307,48467,10119,32237,10634,27554,14342,27410,17306,27069,19410,27134,22766,26985,29311,23582,36854,20978,40361,21553,42582,25134,25620,23025,19537,14666,20592,12278,16285,10507,6955,8396,911,3288,0,37,0,0,0,0
Jun-22,2호선,206,신당,20,1,6079,1186,11146,8688,27192,17576,43474,32103,26060,22672,18471,17883,18008,18635,21289,20617,21116,21271,20569,20839,21553,22048,26488,26377,28721,34133,31746,46538,21497,30391,16789,18606,15676,17639,12925,16590,5792,11566,818,2897,1,19,0,0,0,0
Jun-22,2호선,207,상왕십리,61,0,5325,613,13272,5931,39346,12059,62511,33408,33420,19161,20862,12997,18641,12195,20212,14457,19382,15705,17698,16746,19011,19478,20704,23874,24974,31308,26561,50127,18085,33325,12523,21341,10752,21110,7801,20249,2856,13056,358,3055,0,11,0,1,0,0
Jun-22,2호선,208,왕십리(성동구청),889,4,7485,1122,10270,6544,26173,13292,44143,26873,28225,17820,19014,14898,19498,15562,21535,17664,23334,18836,22888,18991,26030,20453,31400,24907,34367,33507,36565,53353,23417,33031,22269,20364,25263,18032,26933,17912,14472,13557,1710,3846,0,71,0,1,0,0
