"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","105.76","109.70","110.45","105.10","362.89K","-3.66%"
"2022년 06월 29일","109.78","111.86","114.05","109.22","322.06K","-1.77%"
"2022년 06월 28일","111.76","110.18","112.22","109.62","306.75K","2.00%"
"2022년 06월 27일","109.57","107.22","110.54","105.60","282.91K","1.81%"
"2022년 06월 24일","107.62","103.99","108.58","103.64","321.59K","3.21%"
"2022년 06월 23일","104.27","104.42","107.05","102.32","346.36K","-1.81%"
"2022년 06월 22일","106.19","109.54","109.76","101.53","432.72K","-4.03%"
"2022년 06월 21일","110.65","110.58","112.47","108.72","28.46K","1.66%"
"2022년 06월 20일","108.84","108.97","109.17","106.84","-","-0.09%"
"2022년 06월 19일","108.94","108.97","109.34","108.78","-","-0.57%"
"2022년 06월 17일","109.56","117.08","118.97","108.25","103.15K","-6.83%"
"2022년 06월 16일","117.59","115.98","118.08","112.31","162.54K","1.98%"
"2022년 06월 15일","115.31","119.07","119.61","114.60","301.75K","-3.04%"
"2022년 06월 14일","118.93","121.09","123.68","116.62","366.32K","-1.65%"
"2022년 06월 13일","120.93","120.19","122.25","117.47","372.40K","0.22%"
"2022년 06월 10일","120.67","121.46","122.75","118.33","352.91K","-0.69%"
"2022년 06월 09일","121.51","122.43","122.72","120.79","293.30K","-0.49%"
"2022년 06월 08일","122.11","119.79","123.18","119.30","340.59K","2.26%"
"2022년 06월 07일","119.41","119.10","120.36","117.14","341.69K","0.77%"
"2022년 06월 06일","118.50","120.82","120.99","117.63","246.83K","-0.31%"
"2022년 06월 03일","118.87","117.55","120.46","115.23","240.83K","1.71%"
"2022년 06월 02일","116.87","114.80","117.77","111.20","327.60K","1.40%"
"2022년 06월 01일","115.26","115.40","117.87","114.58","290.53K","0.51%"
"2022년 05월 31일","114.67","114.96","119.98","114.15","440.80K","-2.50%"
"2022년 05월 30일","117.61","115.58","117.79","115.39","-","1.73%"
"2022년 05월 29일","115.61","115.30","115.81","115.20","-","0.47%"
"2022년 05월 27일","115.07","114.20","115.30","112.85","217.28K","0.86%"
"2022년 05월 26일","114.09","110.69","114.83","110.27","234.75K","3.41%"
"2022년 05월 25일","110.33","110.39","111.68","109.23","191.37K","0.51%"
